hypothesis_id,dataset,rho,axis,level,n,mean_loss_delta_variant_minus_default,variant_degraded_reps,ties,variant_improved_reps,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_family_size,holm_adjusted_p,direction,holm_direction
reference_noise|dog|3/10|1/20,dog,3/10,reference_noise,1/20,20,0.002516205182848911,16,0,4,0.0008932297189397958,0.004169141877629185,7460900487599785564,0.008007049560546875,0.6571428571428571,calibration_quality|reference_noise|12,12,0.008007049560546875,degraded,degraded
reference_noise|dog|3/10|1/10,dog,3/10,reference_noise,1/10,20,0.010037846530796948,20,0,0,0.007628795446716486,0.012542828521110768,2235367719932160082,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|dog|3/10|1/5,dog,3/10,reference_noise,1/5,20,0.021813279597118592,20,0,0,0.016717728164777432,0.027081172007297996,2069922613269800235,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
missing_calibration|dog|3/10|1/4,dog,3/10,missing_calibration,1/4,20,0.005305775342656435,15,0,5,0.00277132791874842,0.008096825063236012,10270280228252652985,0.0005397796630859375,0.780952380952381,calibration_quality|missing_calibration|8,8,0.0005397796630859375,degraded,degraded
missing_calibration|dog|3/10|1/2,dog,3/10,missing_calibration,1/2,20,0.01301713918147297,18,0,2,0.009162737483360418,0.01702733010206305,18433294480486339366,9.5367431640625e-06,0.9714285714285714,calibration_quality|missing_calibration|8,8,1.9073486328125e-05,degraded,degraded
reference_noise|dog|7/10|1/20,dog,7/10,reference_noise,1/20,20,0.013309178667980565,20,0,0,0.011338660069646997,0.015313809476353564,1633824704566608624,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|dog|7/10|1/10,dog,7/10,reference_noise,1/10,20,0.033241892024163194,20,0,0,0.02915270523288321,0.03741981400495406,7696979445801521068,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|dog|7/10|1/5,dog,7/10,reference_noise,1/5,20,0.06476206210487588,20,0,0,0.05710815802752505,0.0726169248786796,16040930206911505248,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
missing_calibration|dog|7/10|1/4,dog,7/10,missing_calibration,1/4,20,0.017316297859158575,20,0,0,0.014197120242803797,0.020653603697678265,8511102769761432384,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
missing_calibration|dog|7/10|1/2,dog,7/10,missing_calibration,1/2,20,0.05028849368057686,20,0,0,0.04567289658155025,0.054664521789585474,8679000264856032395,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
reference_noise|weather|3/10|1/20,weather,3/10,reference_noise,1/20,20,0.0012349349525493487,20,0,0,0.0011026746077983996,0.00135291076081642,5878215171828637772,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|weather|3/10|1/10,weather,3/10,reference_noise,1/10,20,0.006387958926880434,20,0,0,0.006009681516046332,0.006731922400258347,12527576583258853605,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|weather|3/10|1/5,weather,3/10,reference_noise,1/5,20,0.012243475470967151,20,0,0,0.011566522232058266,0.012869858429386925,1338278585194749903,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
missing_calibration|weather|3/10|1/4,weather,3/10,missing_calibration,1/4,20,0.0027061735707717438,20,0,0,0.002593197696682106,0.002822222845948517,16821245508698787444,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
missing_calibration|weather|3/10|1/2,weather,3/10,missing_calibration,1/2,20,0.004162568208586122,20,0,0,0.003950759155455074,0.0043881140486711784,11765077878756055514,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
reference_noise|weather|7/10|1/20,weather,7/10,reference_noise,1/20,20,0.0028934309862154875,20,0,0,0.0028163430890230908,0.002969818828212775,7564956931224918665,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|weather|7/10|1/10,weather,7/10,reference_noise,1/10,20,0.012944085440634731,20,0,0,0.01279926567585116,0.013088990224430738,10761536048384797187,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|weather|7/10|1/5,weather,7/10,reference_noise,1/5,20,0.022256785971722596,20,0,0,0.021998225891359177,0.022493639118611006,898387754495694588,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
missing_calibration|weather|7/10|1/4,weather,7/10,missing_calibration,1/4,20,0.006550676036486587,20,0,0,0.0063932315786479855,0.0067144152264179005,4385411178038860840,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
missing_calibration|weather|7/10|1/2,weather,7/10,missing_calibration,1/2,20,0.010526615152172758,20,0,0,0.010074478235813663,0.01096030651564954,10810308375434603409,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
