dataset,rho,axis,level,n,paper_metric,mean,bootstrap_95_ci_low,bootstrap_95_ci_high,source,bootstrap_seed,selected_calibration_event_count,realized_fraction_of_hidden_calibrations
dog,3/10,default,0,20,MacroF1,0.7554027243289299,0.7436464375612294,0.7660245850426732,reused_p0_1c_lir,1584028875049086618,,
dog,3/10,reference_noise,1/20,20,MacroF1,0.7528865191460808,0.740413881567302,0.7639839221180855,new_hidden_selector_run,9792854577293097909,2,0.041666666666666664
dog,3/10,reference_noise,1/10,20,MacroF1,0.7453648777981329,0.7317109808924068,0.7575088388109352,new_hidden_selector_run,7461466719165820460,5,0.10416666666666667
dog,3/10,reference_noise,1/5,20,MacroF1,0.7335894447318112,0.7176231967043674,0.7486632045768717,new_hidden_selector_run,4700698640416725443,10,0.20833333333333334
dog,3/10,missing_calibration,1/4,20,MacroF1,0.7500969489862733,0.7363227734987606,0.7622533431715328,new_hidden_selector_run,18121900380517482894,12,0.25
dog,3/10,missing_calibration,1/2,20,MacroF1,0.7423855851474568,0.7285826071530334,0.7551047291247666,new_hidden_selector_run,1728698398581403781,24,0.5
dog,7/10,default,0,20,MacroF1,0.3279972893718448,0.3029085861905937,0.3547206353400129,reused_p0_1c_lir,10066032427022166198,,
dog,7/10,reference_noise,1/20,20,MacroF1,0.3146881107038642,0.2895120317626865,0.34107499946019254,new_hidden_selector_run,15705452422945942952,2,0.041666666666666664
dog,7/10,reference_noise,1/10,20,MacroF1,0.29475539734768164,0.2712280738668635,0.31914939437923556,new_hidden_selector_run,7280262496577553634,5,0.10416666666666667
dog,7/10,reference_noise,1/5,20,MacroF1,0.2632352272669689,0.24267009971602332,0.2842900452272634,new_hidden_selector_run,8618375150980708837,10,0.20833333333333334
dog,7/10,missing_calibration,1/4,20,MacroF1,0.31068099151268624,0.285329451826925,0.335652558524269,new_hidden_selector_run,11578584467999771620,12,0.25
dog,7/10,missing_calibration,1/2,20,MacroF1,0.27770879569126794,0.25414636698382914,0.3017607457710804,new_hidden_selector_run,8533218604612255642,24,0.5
weather,3/10,default,0,20,MAE,0.053985505764184226,0.052283788873463695,0.055753965297156816,reused_p0_1c_lir,1164681280369180841,,
weather,3/10,reference_noise,1/20,20,MAE,0.05522044071673358,0.05358413250725311,0.056951964692799804,new_hidden_selector_run,10682162257049458169,4,0.046511627906976744
weather,3/10,reference_noise,1/10,20,MAE,0.06037346469106466,0.05875410102408185,0.06210489591900461,new_hidden_selector_run,15674614366029257280,9,0.10465116279069768
weather,3/10,reference_noise,1/5,20,MAE,0.06622898123515138,0.06454372990181712,0.06795277581494341,new_hidden_selector_run,605957678638657106,17,0.19767441860465115
weather,3/10,missing_calibration,1/4,20,MAE,0.05669167933495597,0.05497267381471826,0.05851884220836263,new_hidden_selector_run,14433388029439193545,22,0.2558139534883721
weather,3/10,missing_calibration,1/2,20,MAE,0.05814807397277035,0.05654825178357242,0.05979762677377277,new_hidden_selector_run,18061929646649025561,43,0.5
weather,7/10,default,0,20,MAE,0.1507228709827862,0.14773434109499847,0.15350762474901908,reused_p0_1c_lir,6082547023433424325,,
weather,7/10,reference_noise,1/20,20,MAE,0.15361630196900167,0.1505913889417363,0.15643415801788252,new_hidden_selector_run,3644071250719423831,4,0.046511627906976744
weather,7/10,reference_noise,1/10,20,MAE,0.1636669564234209,0.16068939688679745,0.16647444496653388,new_hidden_selector_run,10330877245612463289,9,0.10465116279069768
weather,7/10,reference_noise,1/5,20,MAE,0.1729796569545088,0.17007505256715452,0.17576978633409673,new_hidden_selector_run,17332987153099782003,17,0.19767441860465115
weather,7/10,missing_calibration,1/4,20,MAE,0.15727354701927276,0.15440495783517721,0.16000614975931066,new_hidden_selector_run,9684381490775830886,22,0.2558139534883721
weather,7/10,missing_calibration,1/2,20,MAE,0.16124948613495893,0.15860467536263534,0.16372849637157502,new_hidden_selector_run,14135606263275737132,43,0.5
