pairing_id,method,input_identity_match,paper_metric_old,paper_metric_geometry,paper_metric_abs_diff,tau_dependency,final_disposition,evidence_path
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=10|subset=fd9e2bce283b09c07e2c677039acd5fc722e740f8322567aa6bfd9d29fe149b7,cowa,True,0.17481892334800975,0.1947700753885805,0.01995115204057074,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=10|subset=fd9e2bce283b09c07e2c677039acd5fc722e740f8322567aa6bfd9d29fe149b7,lir_pptd,True,0.20383178626230425,0.22176542504684882,0.01793363878454457,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=10|subset=fd9e2bce283b09c07e2c677039acd5fc722e740f8322567aa6bfd9d29fe149b7,no_cw,True,0.20383178626230425,0.22176542504684882,0.01793363878454457,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=10|subset=fd9e2bce283b09c07e2c677039acd5fc722e740f8322567aa6bfd9d29fe149b7,no_hr,True,0.14898855732858607,0.14898855732858607,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=11|subset=052b20a1b4ad5f00596a60bbd41749887b50b8bec54f8029cab5716618190764,cowa,True,0.2268025914403573,0.24014157951643966,0.013338988076082359,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=11|subset=052b20a1b4ad5f00596a60bbd41749887b50b8bec54f8029cab5716618190764,lir_pptd,True,0.23970784420688962,0.25309069517479466,0.013382850967905036,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=11|subset=052b20a1b4ad5f00596a60bbd41749887b50b8bec54f8029cab5716618190764,no_cw,True,0.23970784420688962,0.25309069517479466,0.013382850967905036,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=11|subset=052b20a1b4ad5f00596a60bbd41749887b50b8bec54f8029cab5716618190764,no_hr,True,0.18077572997090097,0.18077572997090097,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=12|subset=8cac7f094ae7381a3848d6f444f65dd27a47d00d8fb541621b49533d0807b3ee,cowa,True,0.32710587101507005,0.35701686716713743,0.02991099615206738,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=12|subset=8cac7f094ae7381a3848d6f444f65dd27a47d00d8fb541621b49533d0807b3ee,lir_pptd,True,0.3537843497082628,0.37727386470635327,0.023489514998090488,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=12|subset=8cac7f094ae7381a3848d6f444f65dd27a47d00d8fb541621b49533d0807b3ee,no_cw,True,0.3537843497082628,0.37727386470635327,0.023489514998090488,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=12|subset=8cac7f094ae7381a3848d6f444f65dd27a47d00d8fb541621b49533d0807b3ee,no_hr,True,0.237549838569159,0.237549838569159,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=13|subset=734846e19c04b93bf7128255f974d37cca23ed6e4024d7047064a190e88635cc,cowa,True,0.24702028725051872,0.26998902777064826,0.022968740520129538,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=13|subset=734846e19c04b93bf7128255f974d37cca23ed6e4024d7047064a190e88635cc,lir_pptd,True,0.30858030075882603,0.312927356056126,0.004347055297299951,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=13|subset=734846e19c04b93bf7128255f974d37cca23ed6e4024d7047064a190e88635cc,no_cw,True,0.30858030075882603,0.312927356056126,0.004347055297299951,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=13|subset=734846e19c04b93bf7128255f974d37cca23ed6e4024d7047064a190e88635cc,no_hr,True,0.23924691829230904,0.23924691829230904,0.0,no_persistent_q_path,geometry_rerun_verified_equivalent,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=14|subset=576896613d371131b27cc702f38e273b7ad2325e5d03813b5344b2b21f6cd549,cowa,True,0.3262996752615527,0.3592003527510246,0.0329006774894719,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
dataset=dog|rho=7/10|scenario=benign_to_malicious|rep=14|subset=576896613d371131b27cc702f38e273b7ad2325e5d03813b5344b2b21f6cd549,lir_pptd,True,0.34200549277721426,0.3684302422071828,0.02642474942996853,yes,use_geometry_rerun,results/cowa_dynamic_formal_geometry_v1/formal_runs.jsonl
