hypothesis_id,dataset,rho,axis,level,n,mean_loss_delta_variant_minus_default,variant_degraded_reps,ties,variant_improved_reps,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_family_size,holm_adjusted_p,direction,holm_direction
reference_noise|dog|3/10|1/20,dog,3/10,reference_noise,1/20,20,0.002516205182848911,16,0,4,0.0008932297189397958,0.004169141877629185,7460900487599785564,0.008007049560546875,0.6571428571428571,calibration_quality|reference_noise|12,6,0.008007049560546875,degraded,degraded
reference_noise|dog|3/10|1/10,dog,3/10,reference_noise,1/10,20,0.010037846530796948,20,0,0,0.007628795446716486,0.012542828521110768,2235367719932160082,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,6,1.1444091796875e-05,degraded,degraded
reference_noise|dog|3/10|1/5,dog,3/10,reference_noise,1/5,20,0.021813279597118592,20,0,0,0.016717728164777432,0.027081172007297996,2069922613269800235,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,6,1.1444091796875e-05,degraded,degraded
missing_calibration|dog|3/10|1/4,dog,3/10,missing_calibration,1/4,20,0.005305775342656435,15,0,5,0.00277132791874842,0.008096825063236012,10270280228252652985,0.0005397796630859375,0.780952380952381,calibration_quality|missing_calibration|8,4,0.0005397796630859375,degraded,degraded
missing_calibration|dog|3/10|1/2,dog,3/10,missing_calibration,1/2,20,0.01301713918147297,18,0,2,0.009162737483360418,0.01702733010206305,18433294480486339366,9.5367431640625e-06,0.9714285714285714,calibration_quality|missing_calibration|8,4,1.9073486328125e-05,degraded,degraded
reference_noise|dog|7/10|1/20,dog,7/10,reference_noise,1/20,20,0.013309178667980565,20,0,0,0.011338660069646997,0.015313809476353564,1633824704566608624,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,6,1.1444091796875e-05,degraded,degraded
reference_noise|dog|7/10|1/10,dog,7/10,reference_noise,1/10,20,0.033241892024163194,20,0,0,0.02915270523288321,0.03741981400495406,7696979445801521068,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,6,1.1444091796875e-05,degraded,degraded
reference_noise|dog|7/10|1/5,dog,7/10,reference_noise,1/5,20,0.06476206210487588,20,0,0,0.05710815802752505,0.0726169248786796,16040930206911505248,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,6,1.1444091796875e-05,degraded,degraded
missing_calibration|dog|7/10|1/4,dog,7/10,missing_calibration,1/4,20,0.017316297859158575,20,0,0,0.014197120242803797,0.020653603697678265,8511102769761432384,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,4,7.62939453125e-06,degraded,degraded
missing_calibration|dog|7/10|1/2,dog,7/10,missing_calibration,1/2,20,0.05028849368057686,20,0,0,0.04567289658155025,0.054664521789585474,8679000264856032395,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,4,7.62939453125e-06,degraded,degraded
