run_id,rho,replicate,task_id,task_index,calibration_epoch_before_task,truth_class,float_replay_label,exact_formal_float_release_label,exact_real_release_label,fixed_point_release_label,exact_top1_index,exact_top2_index,exact_top1,exact_top2,exact_margin,exact_margin_float,float_margin,fixed_top1_integer,fixed_top2_integer,quantized_margin_integer,quantized_margin,tie_rule,exact_tie,fixed_tie,quantization_induced_release_difference,formal_float_conversion_release_difference,fixed_matches_formal_release,fixed_matches_exact_real_release,source_path
dataset=dog|rho=1/10|rep=8|subset=e2cafea7f2be68625111c60097f7c74bbac948414d9d15b68a9262109987ce33,1/10,8,dog:711,20,1,1,1,0,0,0,0,1,0.44157693206261186288203638088917950570172255552112960512481612268023021414908995,0.44157693206261186288203638088917950570172255552112960512481612268023021414908995,0E-80,0.0,5.551115123125783e-17,7408431,7408431,0,0.0,deterministic_lowest_index,True,True,False,False,True,True,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=1/2|rep=9|subset=bcda20275a4f18698861725968ce41f1bc9c028335db203afcd56018ea2a34c9,1/2,9,dog:273,55,1,3,3,0,3,0,3,0,0.44137453331786995245745226338759746533610211172529919174639771597392405218009730,0.44137453331786995245745226338759746533610211172529919174639771597392405218009729,1E-80,0.0,5.551115123125783e-17,7405036,7405036,0,0.0,deterministic_lowest_index,False,True,True,True,True,False,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=3/10|rep=3|subset=06fbb7445168e996b289ca36bf8b792ebab7f3c9d7f6ee92c361039fc2ba81ed,3/10,3,dog:273,55,1,3,3,0,3,0,3,0,0.44137453331786995245745226338759746533610211172529919174639771597392405218009730,0.44137453331786995245745226338759746533610211172529919174639771597392405218009729,1E-80,0.0,5.551115123125783e-17,7405036,7405036,0,0.0,deterministic_lowest_index,False,True,True,True,True,False,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=3/10|rep=6|subset=1f766d46479e4ad6f645bf26ab5bbfbd16645b1dd3703779dd7a4387e72a1a9e,3/10,6,dog:342,7,1,3,3,0,3,0,0,3,0.43342419962339302896273287921812342621809572371394552905574542662828561627779612,0.43342419962339302896273287921812342621809572371394552905574542662828561627779612,0E-80,0.0,1.6653345369377348e-16,7271651,7271651,0,0.0,deterministic_lowest_index,True,True,True,True,True,False,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=3/10|rep=9|subset=3c839a48a45e520921e9978906dacba6d8d4d1c47cdbb416a237e506189b00c7,3/10,9,dog:711,20,1,1,1,0,0,0,0,1,0.44157693206261186288203638088917950570172255552112960512481612268023021414908995,0.44157693206261186288203638088917950570172255552112960512481612268023021414908995,0E-80,0.0,5.551115123125783e-17,7408431,7408431,0,0.0,deterministic_lowest_index,True,True,False,False,True,True,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=3/10|rep=12|subset=a6a9df83cedcad95493904f0c99f7fa529785319db0bc835de5bb0d718960274,3/10,12,dog:715,16,1,3,3,2,2,2,2,3,0.43253670117208082890423030611291409086544749814142533572817568035258642404250846,0.43253670117208082890423030611291409086544749814142533572817568035258642404250846,0E-80,0.0,2.220446049250313e-16,7256762,7256762,0,0.0,deterministic_lowest_index,True,True,False,False,True,True,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=3/10|rep=18|subset=8cc2d2712e0db7b8c3bc8a8477ec7f647233b76d5d3f9d9e41ae35d33449915d,3/10,18,dog:715,16,1,3,3,2,2,2,2,3,0.43253670117208082890423030611291409086544749814142533572817568035258642404250846,0.43253670117208082890423030611291409086544749814142533572817568035258642404250846,0E-80,0.0,1.6653345369377348e-16,7256762,7256762,0,0.0,deterministic_lowest_index,True,True,False,False,True,True,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=7/10|rep=1|subset=5c110ab24c6b3cf9e9d4b6ee69aaf95cfc8da765fd67786aa6f321a0ce2d6d7d,7/10,1,dog:35,102,4,3,3,0,0,0,0,3,0.42742824766422588566509388210336210611459802437367605645964217614520177468746784,0.42742824766422588566509388210336210611459802437367605645964217614520177468746784,0E-80,0.0,1.1102230246251565e-16,7171056,7171056,0,0.0,deterministic_lowest_index,True,True,False,False,True,True,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=7/10|rep=12|subset=8cac7f094ae7381a3848d6f444f65dd27a47d00d8fb541621b49533d0807b3ee,7/10,12,dog:299,27,1,0,1,0,0,0,0,1,0.43142932167852379434642418909473905229944465754890262673881021286847174294485766,0.43142932167852379434642418909473905229944465754890262673881021286847174294485766,0E-80,0.0,1.6653345369377348e-16,7238182,7238182,0,0.0,deterministic_lowest_index,True,True,False,False,True,True,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=7/10|rep=13|subset=734846e19c04b93bf7128255f974d37cca23ed6e4024d7047064a190e88635cc,7/10,13,dog:278,60,1,2,3,2,3,2,2,3,0.43620093965031386065455297653228201001687856810106339939111086672889446244840510,0.43620093965031386065455297653228201001687856810106339939111086672889446244840510,0E-80,0.0,1.1102230246251565e-16,7318237,7318237,0,0.0,deterministic_lowest_index,True,True,True,True,True,False,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
dataset=dog|rho=9/10|rep=9|subset=f15fc5c3fd32defebbbb64d5d84ed859919daf79a9403fec02d06105362bc7df,9/10,9,dog:715,16,1,3,3,0,0,0,0,3,0.43253670117208082890423030611291409086544749814142533572817568035258642404250846,0.43253670117208082890423030611291409086544749814142533572817568035258642404250846,0E-80,0.0,1.6653345369377348e-16,7256762,7256762,0,0.0,deterministic_lowest_index,True,True,False,False,True,True,GEO_TAU_V1_1 dog_main_geometry replay audit + current exact/fixed-point active path
