capability,method,n,accuracy,macro_f1,tau_mode,D,squared_diameter,lambda_tau,resolved_tau,source_file
50,lir_pptd,128473,0.9283662715123022,0.9282783691636756,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
50,cowa,128473,0.9205825348516808,0.9204880854683396,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
50,no_hr,128473,0.8985312088921408,0.8983499976360777,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
50,mv,128473,0.8985312088921408,0.8983499976360777,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
50,lir_reset30d,128473,0.928187245569108,0.92809891107745,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
52,lir_pptd,17488,0.8887808783165599,0.8820544990567104,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
52,cowa,17488,0.8955855443732845,0.8902056844181162,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
52,no_hr,17488,0.8724268069533394,0.8615109912705506,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
52,mv,17488,0.8724268069533394,0.8615109912705506,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
52,lir_reset30d,17488,0.8887808783165599,0.8820544990567104,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
53,lir_pptd,86111,0.8713520920672155,0.8657855132146978,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
53,cowa,86111,0.871108220784801,0.8654398164013423,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
53,no_hr,86111,0.870039832309461,0.8652119886850747,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
53,mv,86111,0.870039832309461,0.8652119886850747,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
53,lir_reset30d,86111,0.8713985437400564,0.8658324770263546,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
56,lir_pptd,690242,0.9596576273249092,0.9596537722762084,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
56,cowa,690242,0.9598285818596956,0.9598243790359224,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
56,no_hr,690242,0.9413176827837192,0.9413653644712082,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
56,mv,690242,0.9413176827837192,0.9413653644712082,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
56,lir_reset30d,690242,0.9596576273249092,0.9596537722762084,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
69,lir_pptd,4711,0.8683931224793038,0.785295460922323,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
69,cowa,4711,0.8649968159626407,0.7765927418115574,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
69,no_hr,4711,0.8613882402886861,0.7596011145249116,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
69,mv,4711,0.8613882402886861,0.7596011145249116,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
69,lir_reset30d,4711,0.8683931224793038,0.785295460922323,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
126,lir_pptd,22622,0.9525682963486872,0.9369765862230788,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
126,cowa,22622,0.9476173636283264,0.9312296827709192,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
126,no_hr,22622,0.9241888427194768,0.9046404401028608,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
126,mv,22622,0.9241888427194768,0.9046404401028608,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
126,lir_reset30d,22622,0.9525682963486872,0.9369765862230788,geometry_diameter_scaling,3,2,0.2,0.4,results/p1c_netease_longitudinal_geometry_v1/capability_metrics.csv
