capability,cold_bin,method,n,accuracy,macro_f1,tau_mode,D,resolved_tau,source_file
50,history_all,lir_pptd,114057,0.9305785703639408,0.9305083728951016,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
50,history_all,cowa,114057,0.9227228491017648,0.9226400082446592,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
50,history_all,no_hr,114057,0.8988400536573818,0.8986481943156931,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
50,history_all,mv,114057,0.8988400536573818,0.8986481943156931,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
50,history_all,lir_reset30d,114057,0.9304032194429102,0.9303312391597546,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
52,history_all,lir_pptd,17022,0.8919045940547526,0.8850761054929395,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
52,history_all,cowa,17022,0.8979555868875573,0.8924650263148477,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
52,history_all,no_hr,17022,0.8739278580660322,0.862663090826533,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
52,history_all,mv,17022,0.8739278580660322,0.862663090826533,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
52,history_all,lir_reset30d,17022,0.8919045940547526,0.8850761054929395,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
53,history_all,lir_pptd,76679,0.8838925911918517,0.8781529742013915,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
53,history_all,cowa,76679,0.8837230532479557,0.8778433453907035,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
53,history_all,no_hr,76679,0.8819233427665985,0.8768114899313799,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
53,history_all,mv,76679,0.8819233427665985,0.8768114899313799,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
53,history_all,lir_reset30d,76679,0.8839317153327508,0.8781958410091805,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
56,history_all,lir_pptd,674230,0.9600952197321388,0.9600909631012872,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
56,history_all,cowa,674230,0.9603384601693784,0.9603338299414782,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
56,history_all,no_hr,674230,0.9416638239176542,0.9417101021837684,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
56,history_all,mv,674230,0.9416638239176542,0.9417101021837684,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
56,history_all,lir_reset30d,674230,0.9600952197321388,0.9600909631012872,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
69,history_all,lir_pptd,1960,0.8908163265306123,0.8111727138423898,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
69,history_all,cowa,1960,0.886734693877551,0.797634386949504,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
69,history_all,no_hr,1960,0.8806122448979592,0.7785357891778727,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
69,history_all,mv,1960,0.8806122448979592,0.7785357891778727,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
69,history_all,lir_reset30d,1960,0.8908163265306123,0.8111727138423898,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
126,history_all,lir_pptd,19425,0.9536679536679536,0.937179938685777,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
126,history_all,cowa,19425,0.9483655083655084,0.9308440296064276,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
126,history_all,no_hr,19425,0.9231917631917632,0.9013661759818078,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
126,history_all,mv,19425,0.9231917631917632,0.9013661759818078,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
126,history_all,lir_reset30d,19425,0.9536679536679536,0.937179938685777,geometry_diameter_scaling,3,0.4,results/p1c_netease_longitudinal_geometry_v1/cold_start_metrics.csv
