dataset,rho,sweep,value,is_default,n,mean_loss_delta_vs_default,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,interpretation,inference_policy
dog,3/10,K,1,False,20,0.0,0.0,0.0,2582211348418662037,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,3,False,20,0.0,0.0,0.0,6351980026023053620,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,5,False,20,0.0,0.0,0.0,18095753637307204711,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,10,True,20,0.0,0.0,0.0,1725962778554859546,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,20,False,20,0.0,0.0,0.0,8674621164924091998,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,30,False,20,0.0,0.0,0.0,13973880129845592313,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,1/20,False,20,-0.004966988454528759,-0.00680870585708564,-0.0031461982093248307,3500387739850007444,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,1/10,False,20,-0.003171691670021751,-0.004409571180288091,-0.0019255893812665373,17791075478479961680,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,1/5,True,20,0.0,0.0,0.0,3748641685268862543,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,2/5,False,20,0.006325333354809444,0.004088338234056395,0.008796093985570129,5653183394962354702,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,4/5,False,20,0.015689158458206547,0.011270890973338605,0.02029135842100088,8850548510180051064,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,kappa,1,False,20,-0.0006554602547261574,-0.0027079050607084327,0.00153281234882411,7913724939600531002,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,kappa,2,True,20,0.0,0.0,0.0,15370900269226639422,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,kappa,4,False,20,0.00439546293692379,0.0025501239984779154,0.0063233942654833866,13523277931696087061,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,calibration_period,10,False,20,-0.01501924078921581,-0.01895810895239802,-0.011240266288735642,10616166600271006027,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,calibration_period,20,True,20,0.0,0.0,0.0,17132192062681138643,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,calibration_period,40,False,20,0.011305158398547633,0.007448645191795402,0.015066233334292939,17946184870680780566,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,1,False,20,0.0,0.0,0.0,5989611733896132380,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,3,False,20,0.0,0.0,0.0,2278765363734158060,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,5,False,20,0.0,0.0,0.0,14145029706508198673,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,10,True,20,0.0,0.0,0.0,8797847715620119301,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,20,False,20,0.0,0.0,0.0,1046908413500885887,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,30,False,20,0.0,0.0,0.0,3590709343458786702,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,1/20,False,20,-0.03233054524906821,-0.0352233575499405,-0.029382816684098183,9930457629978192321,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,1/10,False,20,-0.019986934402593765,-0.023026603304738272,-0.016955706839771233,14088479776641999355,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,1/5,True,20,0.0,0.0,0.0,9823497080439922697,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,2/5,False,20,0.023594502372776955,0.02012074324854546,0.026869638657461073,3336701548620695273,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,4/5,False,20,0.053981437483339716,0.04869754388642936,0.05874524795560192,1135357084126299875,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,kappa,1,False,20,-0.000683046158038885,-0.003685506827699185,0.0025501396683996675,8324352138883832882,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
