dataset,rho,comparator,hierarchical_bootstrap_resamples,hierarchical_bootstrap95_low,hierarchical_bootstrap95_high
dog,1/10,crh,10000,-0.007532238085742091,-0.004836778317274594
dog,1/10,pptd_liang,10000,-0.007631006293318102,-0.004841473000211521
dog,1/10,tqpp_liu,10000,-0.011877797166888634,-0.00912588930684669
dog,1/2,crh,10000,-0.1186955347612942,-0.1011456823660121
dog,1/2,pptd_liang,10000,-0.11858273923319984,-0.10113772511968744
dog,1/2,tqpp_liu,10000,-0.09991161033485785,-0.08281677107321614
dog,3/10,crh,10000,-0.04210812993158766,-0.03472294289877969
dog,3/10,pptd_liang,10000,-0.042353338129604415,-0.03491454406639861
dog,3/10,tqpp_liu,10000,-0.03826490531088256,-0.03146927772114064
dog,7/10,crh,10000,-0.11230979816181479,-0.09370420033762464
dog,7/10,pptd_liang,10000,-0.11234858938756458,-0.09379293791731144
dog,7/10,tqpp_liu,10000,-0.09283370400632089,-0.07476789968013096
dog,9/10,crh,10000,-0.03104915589915321,-0.024952070897827566
dog,9/10,pptd_liang,10000,-0.031190726811368346,-0.024995999432408385
dog,9/10,tqpp_liu,10000,-0.019574654246384847,-0.013665545355934838
duck,1/10,crh,10000,-0.00860257065143643,0.0030281642517945217
duck,1/10,pptd_liang,10000,-0.008570835186346397,0.002989330360782889
duck,1/10,tqpp_liu,10000,0.020401744924370056,0.03401032476176147
duck,1/2,crh,10000,-0.16126690106869795,-0.11049916318192055
duck,1/2,pptd_liang,10000,-0.1612854177725213,-0.11083815398413617
duck,1/2,tqpp_liu,10000,-0.04218515025667463,0.021058283954638428
duck,3/10,crh,10000,-0.03587183660565763,-0.017450364288740697
duck,3/10,pptd_liang,10000,-0.03575627422876984,-0.017716576334502337
duck,3/10,tqpp_liu,10000,-0.046112040748046604,-0.01778875855436041
duck,7/10,crh,10000,-0.1401340069957196,-0.09179166038151715
duck,7/10,pptd_liang,10000,-0.13940385677958506,-0.09162816206237244
duck,7/10,tqpp_liu,10000,-0.008536982576535774,0.04728222146965545
duck,9/10,crh,10000,-0.025425011710371214,-0.009815519904438644
duck,9/10,pptd_liang,10000,-0.025513389073937222,-0.009975598867943272
duck,9/10,tqpp_liu,10000,0.03522540680919879,0.0572014825389905
product,1/10,crh,10000,-0.049880831671446864,-0.04426226914389513
product,1/10,pptd_liang,10000,-0.04991380321853049,-0.044231619274849227
product,1/10,tqpp_liu,10000,-0.049787668423030715,-0.04418896143846012
product,1/2,crh,10000,-0.14136865403738402,-0.13525778459415902
product,1/2,pptd_liang,10000,-0.14136843609650498,-0.1352068883199952
product,1/2,tqpp_liu,10000,-0.14118516437637235,-0.13496106744656217
product,3/10,crh,10000,-0.11201362479733308,-0.10450516030044761
product,3/10,pptd_liang,10000,-0.11197553548802266,-0.10438934258278625
product,3/10,tqpp_liu,10000,-0.11189969760100968,-0.10430980250365132
product,7/10,crh,10000,-0.16427581823964735,-0.1580924299794769
product,7/10,pptd_liang,10000,-0.16438050556164047,-0.15805908681356592
product,7/10,tqpp_liu,10000,-0.16426830584776958,-0.15786955215557028
product,9/10,crh,10000,-0.14873921344048188,-0.1419196680850868
product,9/10,pptd_liang,10000,-0.14870019860514458,-0.14199831873851124
product,9/10,tqpp_liu,10000,-0.1486496460706253,-0.14195157650501583
weather,1/10,crh,10000,0.004888010711372079,0.005636809006729655
weather,1/10,pptd_liang,10000,0.0006391986051644726,0.0012351403577357848
weather,1/10,tqpp_liu,10000,-0.05319709428796434,-0.046881524059935856
weather,1/2,crh,10000,-0.07091812859559589,-0.06784406994619854
weather,1/2,pptd_liang,10000,-0.05978792491873673,-0.057126494673387165
weather,1/2,tqpp_liu,10000,0.06660255540084133,0.07283810044547534
weather,3/10,crh,10000,-0.0021490080902928583,-0.00030960826938725974
weather,3/10,pptd_liang,10000,-0.01831692312707698,-0.016638354341257777
weather,3/10,tqpp_liu,10000,-0.003906169246371576,0.002074752866695882
weather,7/10,crh,10000,-0.08421134471606703,-0.08155927264882551
weather,7/10,pptd_liang,10000,-0.06723669280238259,-0.06453545644198241
weather,7/10,tqpp_liu,10000,0.0985356590454254,0.10413854500592334
weather,9/10,crh,10000,-0.0396207005501538,-0.03787481021510254
weather,9/10,pptd_liang,10000,-0.0393080632082701,-0.03759434439856645
weather,9/10,tqpp_liu,10000,0.1104804602683394,0.11289965522728944
