dataset,rho,comparator,selector_seed_n,mean_loss_delta_lir_minus_comparator,median_seed_mean_delta,between_seed_sd,bootstrap95_low_seed_unit,bootstrap95_high_seed_unit,exact_seed_level_sign_flip_p,holm_adjusted_seed_level_p,seed_mean_wins,seed_mean_ties,seed_mean_losses,mean_direction,holm_direction,paper_metric
dog,1/10,crh,20,-0.0061727085806528,-0.006060317464432707,0.0028373727036876545,-0.007387887287946546,-0.004965287103227094,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.8203513994459967
dog,1/10,pptd_liang,20,-0.006226797867027227,-0.0061200904223865146,0.0028377039727211623,-0.007454572623545694,-0.005014777936698962,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.8203513994459967
dog,1/10,tqpp_liu,20,-0.010467546961701,-0.010281636994297402,0.0027393361247281395,-0.011669332426238356,-0.00929925742971206,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.8203513994459967
dog,1/2,crh,20,-0.10969196403015083,-0.10288286228755261,0.019655467463917223,-0.11817036263150282,-0.10143214777421047,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.6064059603242712
dog,1/2,pptd_liang,20,-0.10980291040423291,-0.1030092918803244,0.019661226028529988,-0.11846041196788955,-0.10147657644345505,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.6064059603242712
dog,1/2,tqpp_liu,20,-0.09135514480976377,-0.0844554299113495,0.019584096921691527,-0.09985402253785994,-0.08329691543594028,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.6064059603242712
dog,3/10,crh,20,-0.038415312389565665,-0.036848129592789686,0.007354824919990751,-0.041578690407646356,-0.035376137512960835,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.7441859778733776
dog,3/10,pptd_liang,20,-0.03852701844840512,-0.03694021838376227,0.007361732768064976,-0.04167767408445403,-0.03544535218388876,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.7441859778733776
dog,3/10,tqpp_liu,20,-0.034768423948627024,-0.03329740554307491,0.007222026141554967,-0.03791903192953839,-0.03176501673939901,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.7441859778733776
dog,7/10,crh,20,-0.10289303210614109,-0.09908955060250782,0.021247362312899302,-0.11187871589003992,-0.09393836819543708,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.2847614225524373
dog,7/10,pptd_liang,20,-0.10294420257156149,-0.0991950997737635,0.02127682588152247,-0.11201481156436344,-0.09405191165035234,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.2847614225524373
dog,7/10,tqpp_liu,20,-0.08372330033070627,-0.08000597019777209,0.021241586233503473,-0.09275996495641255,-0.07472233794358228,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.2847614225524373
dog,9/10,crh,20,-0.02789511702545121,-0.026482825088415436,0.00665114091890241,-0.030797258717958475,-0.025110389754526917,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.11378623153913037
dog,9/10,pptd_liang,20,-0.02799056392757863,-0.026591450225542282,0.006659526517906951,-0.03096500648178922,-0.0252306921609817,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.11378623153913037
dog,9/10,tqpp_liu,20,-0.016549220551957327,-0.015422276554922574,0.006690663310734136,-0.019508466286497803,-0.013861311781827068,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.11378623153913037
duck,1/10,crh,20,-0.002835595361775481,-0.0037364945978391375,0.013366323016743927,-0.008565958277966726,0.0029153743102029355,0.35613250732421875,0.35613250732421875,12,1,7,lir_win,not_significant,0.7884615384615384
duck,1/10,pptd_liang,20,-0.002835595361775481,-0.0037364945978391375,0.013366323016743927,-0.008633406944853532,0.0028407388112831277,0.35613250732421875,0.35613250732421875,12,1,7,lir_win,not_significant,0.7884615384615384
duck,1/10,tqpp_liu,20,0.02723862152634727,0.024404761904761894,0.012728768148975797,0.021845890974538228,0.03276437612364062,3.814697265625e-06,3.814697265625e-05,0,1,19,lir_loss,lir_loss,0.7884615384615384
duck,1/2,crh,20,-0.13547243865221364,-0.11761904761904762,0.05909501310966723,-0.16102789351918934,-0.11100141511880228,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.5769230769230769
duck,1/2,pptd_liang,20,-0.13547243865221364,-0.11761904761904762,0.05909501310966723,-0.16140530110413442,-0.11098191838196143,1.9073486328125e-06,3.814697265625e-05,20,0,0,lir_win,lir_win,0.5769230769230769
duck,1/2,tqpp_liu,20,-0.01049073987207028,0.010066391941391948,0.0591923762352512,-0.03558788097419403,0.014419387432654415,0.4342670440673828,0.4342670440673828,9,0,11,lir_win,not_significant,0.5769230769230769
duck,3/10,crh,20,-0.026684496141126585,-0.02341250952018279,0.020731956613376585,-0.035416031414128746,-0.017962066124989594,4.1961669921875e-05,0.0001678466796875,18,0,2,lir_win,lir_win,0.7596153846153846
duck,3/10,pptd_liang,20,-0.026684496141126585,-0.02341250952018279,0.020731956613376585,-0.03542157546184123,-0.01769176188286132,4.1961669921875e-05,0.000125885009765625,18,0,2,lir_win,lir_win,0.7596153846153846
