dataset,rho,comparator,selector_seed_index,n_malicious_subsets,mean_loss_delta_lir_minus_comparator,median_loss_delta_lir_minus_comparator,within_seed_subset_sd,paper_metric
dog,1/10,crh,1,20,-0.0054949716721675755,-0.004094806508859794,0.005990509199173,0.8203513994459967
dog,1/10,crh,2,20,-0.0032572843004236574,-0.0015036067205251857,0.005087496273040021,0.8203513994459967
dog,1/10,crh,3,20,-0.004081110405702521,-0.003918105884026968,0.005345888343631397,0.8203513994459967
dog,1/10,crh,4,20,-0.009577825272211394,-0.008980615536598346,0.007507647059108924,0.8203513994459967
dog,1/10,crh,5,20,-0.0018357930592595606,-0.0013608904667472,0.0076569169123902135,0.8203513994459967
dog,1/10,crh,6,20,-0.004763608699301425,-0.004855425684439196,0.005781403855688688,0.8203513994459967
dog,1/10,crh,7,20,-0.009891975286984272,-0.009739461268546579,0.0067221617055750315,0.8203513994459967
dog,1/10,crh,8,20,-0.00829028174804226,-0.008666778047731527,0.00594226269787109,0.8203513994459967
dog,1/10,crh,9,20,-0.005247627848350272,-0.002690988126413274,0.006925566678729831,0.8203513994459967
dog,1/10,crh,10,20,-0.009607534057840561,-0.011690272125849888,0.006933287700095977,0.8203513994459967
dog,1/10,crh,11,20,-0.006625663256697839,-0.005060850789021298,0.006267321235605283,0.8203513994459967
dog,1/10,crh,12,20,-0.007604472136032575,-0.007816899920252307,0.008806400027188849,0.8203513994459967
dog,1/10,crh,13,20,-0.008788326757305976,-0.009584361126546925,0.00701674202417195,0.8203513994459967
dog,1/10,crh,14,20,-0.00857411526579462,-0.008070641666797163,0.007651505044639064,0.8203513994459967
dog,1/10,crh,15,20,-0.0036186544457012916,-0.002296061722598386,0.006596364573725351,0.8203513994459967
dog,1/10,crh,16,20,-0.009884154110006949,-0.010069778566906995,0.0066861997329265435,0.8203513994459967
dog,1/10,crh,17,20,-0.0032328529692841833,-0.0038876746189392963,0.006856814240642721,0.8203513994459967
dog,1/10,crh,18,20,-0.007981204145876147,-0.007819107729065577,0.006021429481611564,0.8203513994459967
dog,1/10,crh,19,20,-0.0013395329141233313,3.271796421339124e-05,0.005220315317921769,0.8203513994459967
dog,1/10,crh,20,20,-0.0037571832619495704,-0.002689384246679305,0.006669599463273116,0.8203513994459967
dog,1/10,pptd_liang,1,20,-0.005554969545729477,-0.004094806508859794,0.006097665601142838,0.8203513994459967
dog,1/10,pptd_liang,2,20,-0.0033177936574460888,-0.0015036067205251857,0.005173418225948182,0.8203513994459967
dog,1/10,pptd_liang,3,20,-0.004140584000312952,-0.004116746359508594,0.005354175624679085,0.8203513994459967
dog,1/10,pptd_liang,4,20,-0.009638109942448514,-0.008980615536598346,0.007593700187135467,0.8203513994459967
dog,1/10,pptd_liang,5,20,-0.0018956679964495459,-0.0013608904667472,0.0077555500524262985,0.8203513994459967
dog,1/10,pptd_liang,6,20,-0.004822640138788392,-0.004855425684439196,0.005857689837377571,0.8203513994459967
dog,1/10,pptd_liang,7,20,-0.009952211875324985,-0.009739461268546579,0.006842216749556051,0.8203513994459967
dog,1/10,pptd_liang,8,20,-0.008349612995446353,-0.008666778047731527,0.005963649452869326,0.8203513994459967
dog,1/10,pptd_liang,9,20,-0.0053078983531533565,-0.002690988126413274,0.007031082866730959,0.8203513994459967
dog,1/10,pptd_liang,10,20,-0.0096676733722658,-0.011690272125849888,0.007023322016398492,0.8203513994459967
dog,1/10,pptd_liang,11,20,-0.006685211299043553,-0.005060850789021298,0.006384643107502884,0.8203513994459967
dog,1/10,pptd_liang,12,20,-0.007665489899703004,-0.007816899920252307,0.008892005497711184,0.8203513994459967
dog,1/10,pptd_liang,13,20,-0.008788326757305976,-0.009584361126546925,0.00701674202417195,0.8203513994459967
dog,1/10,pptd_liang,14,20,-0.008633633435046839,-0.008070641666797163,0.007753500305450812,0.8203513994459967
dog,1/10,pptd_liang,15,20,-0.003679099861386104,-0.002296061722598386,0.006696188683443461,0.8203513994459967
dog,1/10,pptd_liang,16,20,-0.009944644554110121,-0.010069778566906995,0.0067458151569490315,0.8203513994459967
dog,1/10,pptd_liang,17,20,-0.0032328529692841833,-0.0038876746189392963,0.006856814240642721,0.8203513994459967
dog,1/10,pptd_liang,18,20,-0.008041120473912982,-0.007819107729065577,0.006167319291132323,0.8203513994459967
dog,1/10,pptd_liang,19,20,-0.0014010031751050755,3.271796421339124e-05,0.0052552620729984754,0.8203513994459967
dog,1/10,pptd_liang,20,20,-0.0038174130382812145,-0.0032916820099957445,0.006646859792923405,0.8203513994459967
dog,1/10,tqpp_liu,1,20,-0.009807203603516645,-0.008012047118755694,0.006435175866559507,0.8203513994459967
dog,1/10,tqpp_liu,2,20,-0.007898575074407277,-0.008851092289342166,0.006706527391546856,0.8203513994459967
dog,1/10,tqpp_liu,3,20,-0.007902493380449604,-0.008392348580364195,0.007419003913236146,0.8203513994459967
dog,1/10,tqpp_liu,4,20,-0.013895759634091103,-0.014853801084498242,0.008456638683030464,0.8203513994459967
dog,1/10,tqpp_liu,5,20,-0.006176493504970409,-0.004507534726126861,0.006518786856070932,0.8203513994459967
dog,1/10,tqpp_liu,6,20,-0.009475552735426895,-0.0074353612561732785,0.007555538572780086,0.8203513994459967
dog,1/10,tqpp_liu,7,20,-0.014417417313691921,-0.01285998513231007,0.007292946238569417,0.8203513994459967
dog,1/10,tqpp_liu,8,20,-0.012515785782423655,-0.01275351382688883,0.0071152679161256924,0.8203513994459967
dog,1/10,tqpp_liu,9,20,-0.009211978458352555,-0.007280758698121059,0.008393650195844203,0.8203513994459967
dog,1/10,tqpp_liu,10,20,-0.014152117488942012,-0.013310474367609293,0.008089891530711725,0.8203513994459967
dog,1/10,tqpp_liu,11,20,-0.01075607038507816,-0.010675321107332603,0.0068921113202211615,0.8203513994459967
dog,1/10,tqpp_liu,12,20,-0.011047893595837882,-0.012238648548544007,0.008168162289288794,0.8203513994459967
dog,1/10,tqpp_liu,13,20,-0.01325867200716917,-0.014811018537766785,0.007319930944676217,0.8203513994459967
dog,1/10,tqpp_liu,14,20,-0.013067867929524102,-0.013542381421821847,0.006261203838100901,0.8203513994459967
dog,1/10,tqpp_liu,15,20,-0.00813504468085438,-0.007803219882974166,0.008678266152009614,0.8203513994459967
dog,1/10,tqpp_liu,16,20,-0.013590024726254485,-0.013883514637165306,0.006974002490779092,0.8203513994459967
dog,1/10,tqpp_liu,17,20,-0.007735675331229086,-0.009099463273052333,0.008969602831590397,0.8203513994459967
dog,1/10,tqpp_liu,18,20,-0.012018297658788053,-0.01093137581199588,0.007856127431662597,0.8203513994459967
dog,1/10,tqpp_liu,19,20,-0.0065362631359896116,-0.006808233162347632,0.006408954934748683,0.8203513994459967
dog,1/10,tqpp_liu,20,20,-0.00775175280702291,-0.00689000370833337,0.006865952570204773,0.8203513994459967
dog,1/2,crh,1,20,-0.11069356392051777,-0.10602793741161642,0.02347390878477038,0.6064059603242712
dog,1/2,crh,2,20,-0.09306756661498668,-0.09412854194219045,0.019302351793940756,0.6064059603242712
dog,1/2,crh,3,20,-0.10039825649241432,-0.1010836913385561,0.02249550757189308,0.6064059603242712
dog,1/2,crh,4,20,-0.14697826755636473,-0.14738615637367286,0.027243816723953748,0.6064059603242712
dog,1/2,crh,5,20,-0.11564711625159103,-0.10997979173342037,0.02466995230127405,0.6064059603242712
dog,1/2,crh,6,20,-0.08579432616176856,-0.08195375680885092,0.02117979615760677,0.6064059603242712
dog,1/2,crh,7,20,-0.10628224832745856,-0.10666004677929791,0.024563511601005485,0.6064059603242712
dog,1/2,crh,8,20,-0.13468926630450292,-0.13270339162056627,0.026335719663438353,0.6064059603242712
