dataset,selector_seed_index,calibration_count,calibration_mask_sha256
dog,1,41,ad3b53dff4123388ae8554be8fb00a8915c2e1d101466a401b020097c867b2c6
dog,2,43,bbbd235b670e4a629efcdcc7921effbd0bc3b42a8519230c903c9a2cd2a0f788
dog,3,35,9df19df7be576ca1173bf2644d5c4818a8d87b6d5a113830e637f22d59859c44
dog,4,43,481ff8c8de2ece563bc4082330400ec94f3c6483cf48d3e5ddd2a0047fe5dff2
dog,5,37,1396c91fd6e1bad58bceac94bd1ed99b658f40b09ed0d08773bdcfe256e7f08a
dog,6,36,9db38f5212a977602de988b4e86cf3f959c990399de8f080e9aec3eb8e2e112b
dog,7,39,a9926c4aa7c355a5ede41bebb4487751e1248cf58323f439e0c43e57022b2c1a
dog,8,36,b8a4e91028615294b445214c5e815a161a5a45b7ef845523527c221794a8faa4
dog,9,40,d2150153e8b4eb5089e49fe9c2defe3aaa8fd9ce283cdc59a0c0b33007462153
dog,10,42,107fe3706bdde429b4a013d158608c59d2c6759f6e4f035beee76562ddde9b36
dog,11,36,7210797d5a186ca2dbb0cd252be67dd7f12bae96bb00325084903085a754bd5e
dog,12,50,186957ee7ef58e47125c4a49389d751510c0b10fac8c45ca500157ceaaca18fa
dog,13,38,ec8843fdc83bcafc5f9e56ffcc93706a7ae15dc8ad40ce60230442c2e9513c6d
dog,14,38,6aebaa732dbec25dff95f1b67c86b7fd2fafe86468b049bc9ae9cd1d1ed8cf94
dog,15,39,dca8658b0b20a60d6ecc42e657138f155c37c99a48fe77d8a6eaff4250569ae4
dog,16,46,3aa66c1132018ef1485fd5f16c2bf09059ca8ab3ac2a00efc0248dcd764a0d1d
dog,17,23,60ef80cbdf765c1eca63842fc89e522c57085fb3d8fd29bef268ec63cda53e53
dog,18,42,d58a4b6d3239401f18fbab91542963cd69cbbb1e3429a8270bd0375f8b49cefb
dog,19,44,3b744e908ff67dc8af2d9c4e3cccf00793b6bd381646e21153b9fc15c0c70386
dog,20,38,5ef6ad7eff7cf31aca4a4814b5123a89df9c5c3624659177c27c32cbd83e0662
duck,1,2,e7f96d150ca26f0ad0d6f2019bad660ec5b352423ce537d3fcbbafeba94c76d1
duck,2,4,44024264930a710f7dbe90dbf32e1b706680abf6bc9aa8e5d1eed98db3ba2d84
duck,3,4,a6c0da98f2ede334cc77dab9e218cfb2bb14a4dc3b285770cbc2c6dfc8fcee8f
duck,4,4,ac2f927b65ca3b763b5ae50e632be9bb11ccbf928949c54a651c2bace3af2940
duck,5,4,cb5522b8a2029c9ff0d88cadd4bec8bcb51f6d5f5f71bb7e8db497e3336259d2
duck,6,6,6b4af2be9bd0813e63819920375605624c60f1ef9f17a9f8f3ad5ecf46a0c451
duck,7,3,8d9edaf8665352a908a87a962011d05a06d6cebda33372fd1402aa1aee499d50
duck,8,7,2e25587a1b976caeb648bdd40d33fc3690a88406558181a8cde2a77889f3a16e
duck,9,5,4a9ad6f1f76ca44311b7ef796333ac7c3beae0b6994d046beb2c18a84ffaafa2
duck,10,3,76f8b00c4af15eea0315119f08190f35ae684064095c1a54568bc145c7472fc8
duck,11,4,9895d28953d1817577de555c3bad406e22a540e084db98c926897909c0bbab24
duck,12,10,b3b23f809656810cbc797446199a8800d76bd26b3f5949befd6c28fd7246957e
duck,13,7,20650eb3f7d85b9febf7a4915665b8ac7b8e9fa2c6ab9a50433b1044a41e71d1
duck,14,8,630f0e1429ce2df2b5704f2e916a006c084183e847371fb2ff7a219d2ca0b40c
