hypothesis_id,dataset,rho,order_seed,n,lir_mean_loss,crh_mean_loss,mean_loss_delta_lir_minus_crh,lir_pair_wins,ties,crh_pair_wins,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_family_size,holm_adjusted_p,direction,holm_direction
product|3/10|order=7101,product,3/10,7101,20,0.3416747301918929,0.46333847509814685,-0.121663744906254,20,0,0,-0.13247594051103984,-0.11030582541343395,12645489075274350946,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
product|3/10|order=7102,product,3/10,7102,20,0.3485028500321513,0.46333847509814685,-0.11483562506599558,20,0,0,-0.12612958864918783,-0.10315187491065243,4383067153775080394,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
product|3/10|order=7103,product,3/10,7103,20,0.3475735039465574,0.46333847509814685,-0.11576497115158946,20,0,0,-0.12725241539108073,-0.10372885909380686,17562717749175197787,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
product|3/10|order=7104,product,3/10,7104,20,0.34377300621716994,0.46333847509814685,-0.11956546888097692,20,0,0,-0.13133864896169628,-0.10733917939052447,6690497818062464485,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
product|3/10|order=7105,product,3/10,7105,20,0.3424886055977015,0.46333847509814685,-0.12084986950044535,20,0,0,-0.13163318684419892,-0.10988122942963709,14156211516875603560,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
product|7/10|order=7101,product,7/10,7101,20,0.5196870415464651,0.6957771031299778,-0.1760900615835126,20,0,0,-0.18216296789749817,-0.1694457102278564,8945149430075066401,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
product|7/10|order=7102,product,7/10,7102,20,0.5279992744230662,0.6957771031299778,-0.16777782870691146,20,0,0,-0.1742069901199107,-0.16100920929113727,16154375878877186543,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
product|7/10|order=7103,product,7/10,7103,20,0.5250519811121893,0.6957771031299778,-0.17072512201778844,20,0,0,-0.17768340439923702,-0.16333566699298818,12351546907285526585,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
product|7/10|order=7104,product,7/10,7104,20,0.5218269228543229,0.6957771031299778,-0.17395018027565476,20,0,0,-0.18060738627276185,-0.16682614797738482,17202254488855713466,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
product|7/10|order=7105,product,7/10,7105,20,0.522663000057151,0.6957771031299778,-0.17311410307282663,20,0,0,-0.17969803250464803,-0.1659778136490658,2195495745216635160,1.9073486328125e-06,-1.0,task_order|4-datasets|2-rhos|5-orders|40,40,7.62939453125e-05,lir_win,lir_win
duck|3/10|order=7101,duck,3/10,7101,20,0.25048076923076923,0.2620192307692308,-0.011538461538461546,14,1,5,-0.02211538461538461,-0.0004807692307692384,365171326441891725,0.045558929443359375,-0.5210526315789473,task_order|4-datasets|2-rhos|5-orders|40,40,0.364471435546875,lir_win,not_significant
duck|3/10|order=7102,duck,3/10,7102,20,0.24086538461538462,0.2620192307692308,-0.021153846153846162,16,3,1,-0.02836538461538461,-0.013942307692307709,9824552953338280105,4.57763671875e-05,-0.9738562091503268,task_order|4-datasets|2-rhos|5-orders|40,40,0.000457763671875,lir_win,lir_win
duck|3/10|order=7103,duck,3/10,7103,20,0.2644230769230769,0.2620192307692308,0.002403846153846153,5,8,7,-0.002884615384615389,0.008173076923076917,5449055997546491614,0.42041015625,0.3076923076923077,task_order|4-datasets|2-rhos|5-orders|40,40,1.0,crh_win,not_significant
