question,worker,answer
0,0,0.51029748
0,1,0.50114416
0,2,0.50114416
0,3,0.51716247
0,5,0.55148741
0,6,0.54004577
0,7,0.27231121
0,8,0.63157895
1,0,0.51029748
1,1,0.50343249
1,2,0.49427918
1,3,0.49656751
1,4,0.4416476
1,5,0.54691076
1,6,0.65217391
1,8,0.68421053
2,0,0.5194508
2,1,0.50343249
2,2,0.50800915
2,3,0.5423341
2,4,0.4805492
2,5,0.52402746
2,6,0.60640732
2,7,0.35240275
2,8,0.80091533
3,0,0.53089245
3,1,0.53089245
3,2,0.5194508
3,4,0.46910755
3,5,0.52631579
3,6,0.60411899
4,0,0.51258581
4,1,0.48970252
4,3,0.51029748
4,5,0.55606407
4,6,0.61556064
4,7,0.5194508
4,8,0.64759725
5,0,0.50800915
5,2,0.51487414
5,3,0.53318078
5,4,0.5194508
5,5,0.55377574
5,6,0.62242563
5,7,0.29977117
5,8,0.58352403
6,0,0.53318078
6,1,0.52402746
6,2,0.53546911
6,3,0.58581236
6,4,0.47139588
6,5,0.5583524
6,6,0.68649886
6,7,0.41647597
6,8,0.62929062
7,0,0.5423341
7,1,0.51258581
7,2,0.52860412
7,3,0.57665904
7,4,0.45080092
7,5,0.53089245
7,6,0.66361556
7,7,0.41647597
7,8,0.6819222
8,0,0.51258581
8,1,0.51258581
8,3,0.5423341
8,4,0.42334096
8,5,0.56292906
8,6,0.61556064
8,7,0.37070938
8,8,0.57208238
9,0,0.51029748
9,1,0.5194508
9,2,0.52402746
9,3,0.54919908
9,4,0.48970252
9,5,0.58581236
9,6,0.67505721
9,7,0.38443936
9,8,0.66361556
10,0,0.53089245
10,1,0.50572082
10,2,0.51716247
10,3,0.59038902
10,4,0.46910755
10,5,0.56292906
10,6,0.64988558
10,8,0.66819222
11,0,0.51716247
11,1,0.51258581
11,2,0.52631579
11,3,0.56064073
11,4,0.44851259
11,5,0.54462243
11,6,0.60411899
11,7,0.41647597
11,8,0.7208238
12,0,0.50114416
12,1,0.50572082
12,2,0.54004577
12,3,0.54691076
12,4,0.52631579
12,5,0.56750572
12,6,0.62700229
12,7,0.3798627
12,8,0.71853547
13,0,0.52173913
13,1,0.51029748
13,2,0.51487414
13,3,0.51029748
13,5,0.52860412
13,6,0.61327231
13,7,0.30663616
14,0,0.50800915
14,1,0.51029748
14,2,0.51258581
14,4,0.50114416
14,5,0.57665904
14,6,0.65446224
14,7,0.42334096
14,8,0.68649886
15,0,0.52402746
15,1,0.52173913
15,2,0.51716247
15,3,0.56292906
15,4,0.49199085
15,5,0.56750572
