question,truth
0,0.50226577
1,0.49959916
2,0.50668714
3,0.51438858
4,0.50401749
5,0.50570918
6,0.51984893
7,0.51596665
8,0.5091652
9,0.51780198
10,0.5125843
11,0.51425585
12,0.52080055
13,0.50769012
14,0.51066732
15,0.52033156
16,0.51891999
17,0.52971031
18,0.52299779
19,0.52121262
20,0.54264467
21,0.53270616
22,0.53639086
23,0.52781554
24,0.53552626
25,0.54168973
26,0.53468919
27,0.54683003
28,0.54178512
29,0.54556108
30,0.54508524
31,0.56358145
32,0.55241972
33,0.54689506
34,0.56144382
35,0.5490537
36,0.56050314
37,0.5472474
38,0.55321036
39,0.56530416
40,0.57064307
41,0.5683671
42,0.56801015
43,0.56834658
44,0.56186929
45,0.56867928
46,0.5720563
47,0.58406911
48,0.58076005
49,0.56788265
50,0.58379108
51,0.58049849
52,0.58006622
53,0.59047895
54,0.59491933
55,0.59579162
56,0.58518909
57,0.59037444
58,0.59631305
59,0.60227258
60,0.5938172
61,0.59735805
62,0.59255804
63,0.59345595
64,0.60875513
65,0.61399127
66,0.60568411
67,0.61455958
68,0.6116389
69,0.60620743
70,0.61459093
71,0.62413615
72,0.61479291
73,0.62723507
74,0.59995781
75,0.62502669
76,0.62141733
77,0.62019581
78,0.62430042
79,0.61144101
80,0.62498586
81,0.63034675
82,0.63943512
83,0.62711855
84,0.62650604
85,0.62998437
86,0.64107837
87,0.6384088
88,0.6338654
89,0.64236846
90,0.64084635
91,0.64815695
92,0.63800712
93,0.64188893
94,0.64275018
95,0.63669064
96,0.65005808
97,0.65109676
98,0.65061089
99,0.65022822
100,0.64337666
101,0.6514515
102,0.65322405
103,0.65129814
104,0.65691889
105,0.66201155
106,0.67338926
107,0.66283311
108,0.66458784
109,0.66348483
110,0.65199068
111,0.66613902
112,0.66788337
113,0.68551965
114,0.66841931
115,0.67293098
116,0.67173416
117,0.66505161
118,0.68201262
119,0.68041216
120,0.68175392
121,0.6711442
122,0.68807117
123,0.66986136
124,0.68454798
125,0.6965809
126,0.67575766
127,0.67967423
128,0.68524005
129,0.68208351
130,0.67586828
131,0.68794769
132,0.68113743
133,0.69262409
134,0.68399338
135,0.70186735
136,0.68676138
137,0.69082822
138,0.69951409
139,0.6863589
140,0.69723902
141,0.70550901
142,0.6863473
143,0.69948647
144,0.70082845
145,0.705226
146,0.6921706
147,0.69238974
148,0.70581911
149,0.70504498
150,0.70548485
151,0.7068914
152,0.70058125
153,0.70756931
154,0.70870078
155,0.70248741
156,0.72089112
157,0.71201518
158,0.70125228
159,0.71459453
160,0.70404128
161,0.71676937
162,0.71994174
163,0.70696431
164,0.71981045
165,0.7166175
166,0.72000231
167,0.72794367
168,0.71378913
169,0.71083898
170,0.71043464
171,0.71145649
172,0.71703165
173,0.72039492
174,0.72043237
175,0.72467946
176,0.71954603
177,0.72987911
178,0.71851551
179,0.73942594
180,0.72545471
181,0.71567048
182,0.71458634
183,0.72562113
184,0.72113362
185,0.72791578
186,0.72659717
187,0.72317037
188,0.71816675
189,0.7138779
190,0.72149698
191,0.73071412
192,0.72656499
193,0.71679116
194,0.72676755
195,0.72844698
196,0.71994481
197,0.72726608
198,0.72679619
199,0.7187235
200,0.72918712
201,0.73072916
202,0.7344505
203,0.73437322
204,0.71779222
205,0.72091027
206,0.73097017
207,0.73103511
208,0.73110479
209,0.75406645
210,0.73157264
211,0.7354726
212,0.73423712
213,0.73215814
214,0.72550794
215,0.73285597
216,0.72230111
217,0.72592915
218,0.72415875
219,0.72797619
220,0.74321507
221,0.71440456
222,0.73182034
223,0.71591127
224,0.72360362
225,0.73416748
226,0.72696908
227,0.71895259
228,0.7212518
229,0.7306264
230,0.72073321
231,0.72700693
232,0.72559518
233,0.7205581
234,0.7394861
235,0.72884406
236,0.71030155
237,0.72518373
238,0.71904785
239,0.72911794
240,0.71748806
241,0.72179149
242,0.7256841
243,0.72778676
244,0.71321714
245,0.71876243
246,0.71738775
247,0.71574047
248,0.73191061
249,0.72212412
250,0.71022904
251,0.72471514
252,0.73249963
253,0.72452395
254,0.70649871
255,0.71308606
256,0.7245769
257,0.7104788
258,0.7178293
259,0.71953406
260,0.70727478
261,0.71263969
262,0.69019554
263,0.70480119
264,0.70947486
265,0.70200624
266,0.72113068
267,0.69944668
268,0.70557257
269,0.70880841
270,0.71711117
271,0.69665424
272,0.71377974
273,0.70513678
274,0.69758909
275,0.70674884
276,0.70418122
277,0.69792121
278,0.70173678
279,0.69781725
280,0.70043551
281,0.70338455
282,0.70889889
283,0.68867429
284,0.71096526
285,0.68206027
286,0.6935479
287,0.69774656
288,0.69474397
289,0.68763674
290,0.68956884
291,0.68668867
292,0.68509219
293,0.69402533
294,0.68968802
295,0.68151428
296,0.69147058
297,0.68641798
298,0.68889205
299,0.68662745
300,0.67559728
301,0.67641597
302,0.68435513
303,0.68236864
304,0.67697865
305,0.67686152
306,0.68375146
307,0.66983378
308,0.67655575
309,0.67030739
310,0.66908712
311,0.67700125
312,0.67399196
313,0.67276827
314,0.67499449
315,0.66501628
316,0.66838431
317,0.66039434
318,0.66356236
319,0.65924729
320,0.65960154
321,0.66180759
322,0.65088225
323,0.66963241
324,0.6471222
325,0.64444493
326,0.65947414
327,0.65569352
328,0.65327011
329,0.65201767
330,0.64633042
331,0.63895719
332,0.64433156
333,0.63784887
334,0.64787031
335,0.63883733
336,0.6328429
337,0.63495903
338,0.63864795
339,0.63058357
340,0.62744193
341,0.63338497
342,0.63201207
343,0.62546135
344,0.62431185
345,0.62773551
346,0.61479142
347,0.6136534
348,0.61695983
349,0.61899621
350,0.62115883
351,0.62770912
352,0.6220185
353,0.61357614
354,0.61308069
355,0.60485973
356,0.61013967
357,0.60680371
358,0.60951338
359,0.60012563
360,0.60787066
361,0.6133226
362,0.60054307
363,0.60253118
364,0.60298947
365,0.59397004
366,0.59673022
367,0.59374042
368,0.59278148
369,0.58525609
370,0.5891779
371,0.5908703
372,0.5958507
373,0.5909063
374,0.59753012
375,0.57590375
376,0.58557859
377,0.57926288
378,0.591447
379,0.56927061
380,0.56745628
381,0.56750346
382,0.5554311
383,0.56479177
384,0.56157528
385,0.5662011
386,0.5658931
387,0.5748016
388,0.56681767
389,0.55470053
390,0.55085804
391,0.55876416
392,0.54468216
393,0.56467389
394,0.55855028
395,0.54558222
396,0.53538939
397,0.55478865
398,0.54304975
399,0.55067294
400,0.52956653
401,0.53473218
402,0.53721533
403,0.5358322
404,0.53074832
405,0.5364403
406,0.52315985
407,0.52783449
408,0.52795899
409,0.52898447
410,0.52865631
411,0.5143673
412,0.50987188
413,0.52748921
414,0.51931264
415,0.5102053
416,0.52430373
417,0.51275983
418,0.51837149
419,0.50904843
420,0.52104069
421,0.51725238
422,0.50180082
423,0.50848749
424,0.50455572
425,0.50782834
426,0.49011602
427,0.49975757
428,0.50062173
429,0.47959006
430,0.48184926
431,0.47428202
432,0.48474144
433,0.48982709
434,0.49352586
435,0.48203273
436,0.49101732
437,0.46867638
438,0.46477206
439,0.47440065
440,0.47573613
441,0.47119403
442,0.45554596
443,0.46744916
444,0.45742953
445,0.4693075
446,0.46555427
447,0.45491465
448,0.4561706
449,0.45076033
450,0.45593729
451,0.4612627
452,0.44627916
453,0.45484944
454,0.44609455
455,0.44263999
456,0.44569936
457,0.43768113
458,0.43934415
459,0.43328147
460,0.45335578
461,0.43847635
462,0.43180028
463,0.43644588
464,0.4325823
465,0.43021658
466,0.43433355
467,0.43370512
468,0.42325434
469,0.42133856
470,0.42180266
471,0.40629169
472,0.41010024
473,0.42829752
474,0.42862295
475,0.41404141
476,0.41813442
477,0.41474304
478,0.43217747
479,0.41716633
480,0.40704668
481,0.3998144
482,0.39380034
483,0.40468489
484,0.39656055
485,0.39045921
486,0.39425973
487,0.38975459
488,0.40724814
489,0.40021054
490,0.39260126
491,0.40131949
492,0.39020042
493,0.38227215
494,0.39716271
495,0.38893385
496,0.37664752
497,0.3810018
498,0.37484401
499,0.36991532
500,0.38432605
501,0.38964223
502,0.36550589
503,0.37755153
504,0.36780665
505,0.36752268
506,0.3654005
507,0.36214355
508,0.36702265
509,0.35960703
510,0.36579743
511,0.3622325
512,0.35958109
513,0.35364267
514,0.35457278
515,0.36238495
516,0.35931264
517,0.34784541
518,0.35392859
519,0.35710327
520,0.33919092
521,0.353096
522,0.34353958
523,0.35073654
524,0.34031883
525,0.33191571
526,0.3318892
527,0.34215694
528,0.342383
529,0.33317371
530,0.34255631
531,0.3255654
532,0.33532628
533,0.32628342
534,0.32894829
535,0.33258368
536,0.32519583
537,0.32731603
538,0.33572688
539,0.32373032
540,0.33230904
541,0.31770737
542,0.32800016
543,0.33316922
544,0.30522446
545,0.31565067
546,0.32402174
547,0.31761483
548,0.32051506
549,0.31278911
550,0.31650817
551,0.31383328
552,0.32191715
553,0.31465539
554,0.31424506
555,0.30812875
556,0.306648
557,0.30607537
558,0.31081263
559,0.30428495
560,0.30824508
561,0.31959469
562,0.31042924
563,0.30132335
564,0.31093103
565,0.29901722
566,0.28697167
567,0.29319842
568,0.28644238
569,0.29604954
570,0.29777742
571,0.30835901
572,0.29830499
573,0.29377797
574,0.30020854
575,0.27857903
576,0.29463092
577,0.29757166
578,0.28140675
579,0.29869797
580,0.29247016
581,0.28660712
582,0.29312525
583,0.30370412
584,0.28871051
585,0.28852376
586,0.28303554
587,0.27973584
588,0.29066288
589,0.27848996
590,0.28427433
591,0.27993174
592,0.28593867
593,0.28439252
594,0.28868794
595,0.27753918
596,0.27867486
597,0.2733074
598,0.27648757
599,0.28165082
600,0.28379243
601,0.27181215
602,0.28367181
603,0.28657969
604,0.27969487
605,0.28933636
606,0.27074783
607,0.26713524
608,0.26310099
609,0.28522654
610,0.279105
611,0.27390005
612,0.27588475
613,0.26592973
614,0.29015202
615,0.27396715
616,0.27356148
617,0.27753568
618,0.27561061
619,0.27361302
620,0.26642945
621,0.27488508
622,0.28437337
623,0.28050686
624,0.2820375
625,0.26743298
626,0.2640035
627,0.26980073
628,0.27092642
629,0.27794758
630,0.25872181
631,0.28075801
632,0.26910254
633,0.26719885
634,0.26313592
635,0.25869057
636,0.27568186
637,0.27052631
638,0.26117211
639,0.26115419
640,0.26776946
641,0.28157468
642,0.26838953
643,0.25991983
644,0.26863164
645,0.2685387
646,0.25200162
647,0.27026025
648,0.26917737
649,0.27568442
650,0.28375273
651,0.27896068
652,0.26956052
653,0.26400221
654,0.28946907
655,0.27242643
656,0.27234484
657,0.27232531
658,0.27410488
659,0.27202047
660,0.26935214
661,0.26982731
662,0.27366012
663,0.27047016
664,0.26963517
665,0.27559985
666,0.2734714
667,0.28591155
668,0.25776484
669,0.28384615
670,0.28530875
671,0.26293416
672,0.27524112
673,0.27548153
674,0.2688188
675,0.27360359
676,0.27179317
677,0.29193256
678,0.28682462
679,0.28964031
680,0.2863872
681,0.27421572
682,0.27891141
683,0.2864292
684,0.27524899
685,0.28911461
686,0.28316279
687,0.28284393
688,0.29091393
689,0.28971083
690,0.28482232
691,0.29591008
692,0.2811923
693,0.29351617
694,0.29404486
695,0.28854508
696,0.29361728
697,0.28350912
698,0.29917237
699,0.29230179
700,0.29073608
701,0.30229063
702,0.29102965
703,0.28698276
704,0.28676353
705,0.30241897
706,0.29028852
707,0.31195615
708,0.28645882
709,0.31324998
710,0.30391582
