hypothesis_id,dataset,rho,axis,level,n,mean_loss_delta_variant_minus_default,variant_degraded_reps,ties,variant_improved_reps,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_family_size,holm_adjusted_p,direction,holm_direction
reference_noise|dog|3/10|1/20,dog,3/10,reference_noise,1/20,20,0.0025162051828489,16,0,4,0.0008932297189397,0.0041691418776291,7460900487599785564,0.0080070495605468,0.6571428571428571,calibration_quality|reference_noise|12,12,0.0080070495605468,degraded,degraded
reference_noise|dog|3/10|1/10,dog,3/10,reference_noise,1/10,20,0.0100378465307969,20,0,0,0.0076287954467164,0.0125428285211107,2235367719932160082,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|dog|3/10|1/5,dog,3/10,reference_noise,1/5,20,0.0218132795971185,20,0,0,0.0167177281647774,0.0270811720072979,2069922613269800235,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
missing_calibration|dog|3/10|1/4,dog,3/10,missing_calibration,1/4,20,0.0053057753426564,15,0,5,0.0027713279187484,0.008096825063236,10270280228252652985,0.0005397796630859,0.780952380952381,calibration_quality|missing_calibration|8,8,0.0005397796630859,degraded,degraded
missing_calibration|dog|3/10|1/2,dog,3/10,missing_calibration,1/2,20,0.0130171391814729,18,0,2,0.0091627374833604,0.017027330102063,18433294480486339366,9.5367431640625e-06,0.9714285714285714,calibration_quality|missing_calibration|8,8,1.9073486328125e-05,degraded,degraded
reference_noise|dog|7/10|1/20,dog,7/10,reference_noise,1/20,20,0.0133091786679805,20,0,0,0.0113386600696469,0.0153138094763535,1633824704566608624,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|dog|7/10|1/10,dog,7/10,reference_noise,1/10,20,0.0332418920241631,20,0,0,0.0291527052328832,0.037419814004954,7696979445801521068,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|dog|7/10|1/5,dog,7/10,reference_noise,1/5,20,0.0647620621048758,20,0,0,0.057108158027525,0.0726169248786796,16040930206911505248,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
missing_calibration|dog|7/10|1/4,dog,7/10,missing_calibration,1/4,20,0.0173162978591585,20,0,0,0.0141971202428037,0.0206536036976782,8511102769761432384,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
missing_calibration|dog|7/10|1/2,dog,7/10,missing_calibration,1/2,20,0.0502884936805768,20,0,0,0.0456728965815502,0.0546645217895854,8679000264856032395,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
reference_noise|weather|3/10|1/20,weather,3/10,reference_noise,1/20,20,0.0012349349525493,20,0,0,0.0011026746077983,0.0013529107608164,5878215171828637772,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|weather|3/10|1/10,weather,3/10,reference_noise,1/10,20,0.0063879589268804,20,0,0,0.0060096815160463,0.0067319224002583,12527576583258853605,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|weather|3/10|1/5,weather,3/10,reference_noise,1/5,20,0.0122434754709671,20,0,0,0.0115665222320582,0.0128698584293869,1338278585194749903,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
missing_calibration|weather|3/10|1/4,weather,3/10,missing_calibration,1/4,20,0.0027061735707717,20,0,0,0.0025931976966821,0.0028222228459485,16821245508698787444,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
missing_calibration|weather|3/10|1/2,weather,3/10,missing_calibration,1/2,20,0.0041625682085861,20,0,0,0.003950759155455,0.0043881140486711,11765077878756055514,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
reference_noise|weather|7/10|1/20,weather,7/10,reference_noise,1/20,20,0.0028934309862154,20,0,0,0.002816343089023,0.0029698188282127,7564956931224918665,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|weather|7/10|1/10,weather,7/10,reference_noise,1/10,20,0.0129440854406347,20,0,0,0.0127992656758511,0.0130889902244307,10761536048384797187,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
reference_noise|weather|7/10|1/5,weather,7/10,reference_noise,1/5,20,0.0222567859717225,20,0,0,0.0219982258913591,0.022493639118611,898387754495694588,1.9073486328125e-06,1.0,calibration_quality|reference_noise|12,12,2.288818359375e-05,degraded,degraded
missing_calibration|weather|7/10|1/4,weather,7/10,missing_calibration,1/4,20,0.0065506760364865,20,0,0,0.0063932315786479,0.0067144152264179,4385411178038860840,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
missing_calibration|weather|7/10|1/2,weather,7/10,missing_calibration,1/2,20,0.0105266151521727,20,0,0,0.0100744782358136,0.0109603065156495,10810308375434603409,1.9073486328125e-06,1.0,calibration_quality|missing_calibration|8,8,1.52587890625e-05,degraded,degraded
