dataset,rho,sweep,value,is_default,n,mean_loss_delta_vs_default,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,interpretation,inference_policy
dog,3/10,K,1,False,20,0.0,0.0,0.0,2582211348418662037,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,3,False,20,0.0,0.0,0.0,6351980026023053620,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,5,False,20,0.0,0.0,0.0,18095753637307204711,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,10,True,20,0.0,0.0,0.0,1725962778554859546,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,20,False,20,0.0,0.0,0.0,8674621164924091998,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,K,30,False,20,0.0,0.0,0.0,13973880129845592313,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,1/20,False,20,-0.0049669884545287,-0.0068087058570856,-0.0031461982093248,3500387739850007444,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,1/10,False,20,-0.0031716916700217,-0.004409571180288,-0.0019255893812665,17791075478479961680,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,1/5,True,20,0.0,0.0,0.0,3748641685268862543,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,2/5,False,20,0.0063253333548094,0.0040883382340563,0.0087960939855701,5653183394962354702,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,lambda_tau,4/5,False,20,0.0156891584582065,0.0112708909733386,0.0202913584210008,8850548510180051064,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,kappa,1,False,20,-0.0006554602547261,-0.0027079050607084,0.0015328123488241,7913724939600531002,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,kappa,2,True,20,0.0,0.0,0.0,15370900269226639422,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,kappa,4,False,20,0.0043954629369237,0.0025501239984779,0.0063233942654833,13523277931696087061,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,calibration_period,10,False,20,-0.0150192407892158,-0.018958108952398,-0.0112402662887356,10616166600271006027,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,calibration_period,20,True,20,0.0,0.0,0.0,17132192062681138643,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,3/10,calibration_period,40,False,20,0.0113051583985476,0.0074486451917954,0.0150662333342929,17946184870680780566,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,1,False,20,0.0,0.0,0.0,5989611733896132380,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,3,False,20,0.0,0.0,0.0,2278765363734158060,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,5,False,20,0.0,0.0,0.0,14145029706508198673,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,10,True,20,0.0,0.0,0.0,8797847715620119301,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,20,False,20,0.0,0.0,0.0,1046908413500885887,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,K,30,False,20,0.0,0.0,0.0,3590709343458786702,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,1/20,False,20,-0.0323305452490682,-0.0352233575499405,-0.0293828166840981,9930457629978192321,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,1/10,False,20,-0.0199869344025937,-0.0230266033047382,-0.0169557068397712,14088479776641999355,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,1/5,True,20,0.0,0.0,0.0,9823497080439922697,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,2/5,False,20,0.0235945023727769,0.0201207432485454,0.026869638657461,3336701548620695273,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,lambda_tau,4/5,False,20,0.0539814374833397,0.0486975438864293,0.0587452479556019,1135357084126299875,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
dog,7/10,kappa,1,False,20,-0.0006830461580388,-0.0036855068276991,0.0025501396683996,8324352138883832882,negative_is_better_than_default,descriptive sensitivity; no post-hoc parameter selection
