dataset,attack,method,n,metric,mean,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed
product,random,lir_pptd,20,MacroF1,0.6020853481145658,0.5961879888661394,0.608162940826496,8633415370522524341
product,random,crh,20,MacroF1,0.5721174563424969,0.5658479957532621,0.5784779289301474,14696647971990522660
product,random,pptd_liang,20,MacroF1,0.5721174563424969,0.5659351866225142,0.5788004450459778,2338540442415176163
product,random,tqpp_liu,20,MacroF1,0.5721832306813018,0.5657891482345023,0.5789334741949629,285695389692964682
product,collusive,lir_pptd,20,MacroF1,0.6029571044674947,0.5916838599898615,0.6149886063910156,8370625332465874470
product,collusive,crh,20,MacroF1,0.5966780781426628,0.5864296358549828,0.6067905703996149,13869534149529849288
product,collusive,pptd_liang,20,MacroF1,0.5966780781426628,0.586200143154395,0.6070416602277904,17636564964727645234
product,collusive,tqpp_liu,20,MacroF1,0.5966990882640243,0.5865591810229424,0.6070038386991562,6815447039095403591
product,on_off,lir_pptd,20,MacroF1,0.7131619100347782,0.708360985852181,0.7179459293759991,5337575564921384428
product,on_off,crh,20,MacroF1,0.6987909920517658,0.6941081685922851,0.7032406195305727,13691648954120674299
product,on_off,pptd_liang,20,MacroF1,0.6987909920517658,0.6940898576724408,0.7033541111724448,17719361247900507767
product,on_off,tqpp_liu,20,MacroF1,0.6987375702266628,0.6940266009946433,0.7031855771296914,17756718400191679498
duck,random,lir_pptd,20,Accuracy,0.7,0.6692307692307693,0.731262019230769,1988105919544920533
duck,random,crh,20,Accuracy,0.6663461538461538,0.6360576923076924,0.6971153846153847,12932867761257583781
duck,random,pptd_liang,20,Accuracy,0.6663461538461538,0.635576923076923,0.698076923076923,11903941675099623004
duck,random,tqpp_liu,20,Accuracy,0.7177884615384615,0.69375,0.7408653846153845,17856641890344778944
duck,collusive,lir_pptd,20,Accuracy,0.5384615384615384,0.5384615384615384,0.5384615384615384,15055775454205286424
duck,collusive,crh,20,Accuracy,0.5384615384615384,0.5384615384615384,0.5384615384615384,2355275296589030938
duck,collusive,pptd_liang,20,Accuracy,0.5384615384615384,0.5384615384615384,0.5384615384615384,3304723360648293601
duck,collusive,tqpp_liu,20,Accuracy,0.5384615384615384,0.5384615384615384,0.5384615384615384,17986837863184227335
duck,on_off,lir_pptd,20,Accuracy,0.6408653846153846,0.6307692307692307,0.6514423076923077,444371899727367880
duck,on_off,crh,20,Accuracy,0.6442307692307693,0.6331730769230769,0.6552884615384615,391339248642225126
duck,on_off,pptd_liang,20,Accuracy,0.6442307692307693,0.6331730769230769,0.6557692307692308,10076987125463059392
duck,on_off,tqpp_liu,20,Accuracy,0.6639423076923077,0.6475961538461539,0.6783653846153845,7394429801752114041
dog,random,lir_pptd,20,MacroF1,0.6799865415697216,0.6643510827007724,0.6950299704933913,11035402161722480578
dog,random,crh,20,MacroF1,0.6283480520071061,0.6108428397735003,0.6456550813409091,1681236377316886354
dog,random,pptd_liang,20,MacroF1,0.6286805507582872,0.611708467452537,0.645870562097063,16586928062324648375
dog,random,tqpp_liu,20,MacroF1,0.659073195535738,0.6439384605800382,0.673918825630632,9765760693022506725
dog,collusive,lir_pptd,20,MacroF1,0.3922778328160552,0.36724546845779443,0.4179928629735012,16655161119897605447
dog,collusive,crh,20,MacroF1,0.18418066646440642,0.16698615841195832,0.2013462591894284,7788626510138800505
dog,collusive,pptd_liang,20,MacroF1,0.18418066646440642,0.1668989010236176,0.20150028514165624,8480390164014325482
dog,collusive,tqpp_liu,20,MacroF1,0.26599975170080165,0.24220027357151064,0.29061451908368774,3733986426712133009
dog,on_off,lir_pptd,20,MacroF1,0.5965079207770662,0.5849184935878645,0.6092339952261839,16343660886583873076
dog,on_off,crh,20,MacroF1,0.5573048929681246,0.5507788560028652,0.5638364949622827,12594127928817545668
dog,on_off,pptd_liang,20,MacroF1,0.5573048929681246,0.5507969866806539,0.5638874409954593,950810934785344615
dog,on_off,tqpp_liu,20,MacroF1,0.5826572440224643,0.5731783831008453,0.5919201497225548,14572784417969538438
weather,random,lir_pptd,20,MAE,0.08436350634259707,0.08229319607465435,0.08655514421258181,6715128178789752105
weather,random,crh,20,MAE,0.09573816987834828,0.0926639556126903,0.09901113826734298,16193271547936047801
weather,random,pptd_liang,20,MAE,0.10178501354521104,0.09987742722236058,0.1038097813828726,2456881621344997361
weather,random,tqpp_liu,20,MAE,0.09086525864701174,0.08549861689456628,0.09673876348303727,4039702427225895773
weather,collusive,lir_pptd,20,MAE,0.21025692780083283,0.20177524123568835,0.21913497222395395,11299993023146796996
weather,collusive,crh,20,MAE,0.4595609401863658,0.45782522577050644,0.4612582512913602,7482610738277093213
weather,collusive,pptd_liang,20,MAE,0.4168193913715977,0.4139272318214087,0.4195791658742658,9604546516480357328
weather,collusive,tqpp_liu,20,MAE,0.10009602381230932,0.08684788650967283,0.1163676140664067,13218498613007339258
weather,on_off,lir_pptd,20,MAE,0.17251276863167808,0.16783846223783117,0.17717245142390797,4916075162019697323
weather,on_off,crh,20,MAE,0.23842314369072032,0.2372769751348574,0.23941932868280788,15389285116045593403
weather,on_off,pptd_liang,20,MAE,0.21899233162215392,0.21739803981433492,0.22045903826724897,5073574622815978412
weather,on_off,tqpp_liu,20,MAE,0.1373659908090462,0.12879052898555937,0.1461654013932208,13779433790021019899
