dataset,attack,method,n,metric,mean,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed
product,random,lir_pptd,20,Accuracy,0.7740299264519401,0.7686596500126808,0.7796286139994928,3116463550962272864
product,random,crh,20,Accuracy,0.72772001014456,0.7206628835911743,0.7350878138473244,16037871141644113396
product,random,pptd_liang,20,Accuracy,0.72772001014456,0.7207264455997971,0.7349670301800659,16540585182841699636
product,random,tqpp_liu,20,Accuracy,0.7277897539944205,0.7207392848085215,0.7351447184884605,3213674557796510948
product,collusive,lir_pptd,20,Accuracy,0.8847007354805986,0.8830142023839717,0.8862921633274157,6188812970542618568
product,collusive,crh,20,Accuracy,0.8743786457012427,0.8724638600050723,0.8761222419477555,12283267359798784612
product,collusive,pptd_liang,20,Accuracy,0.8743786457012427,0.8724638600050723,0.8760843583565813,10463576266332867357
product,collusive,tqpp_liu,20,Accuracy,0.8743723053512553,0.8724573611463353,0.8760778594978443,2000756303152631349
product,on_off,lir_pptd,20,Accuracy,0.8979584073040832,0.8968742074562517,0.8989982247020036,4441270422116325925
product,on_off,crh,20,Accuracy,0.8857405528785189,0.884409079381182,0.8869705807760588,2671268134801385945
product,on_off,pptd_liang,20,Accuracy,0.8857405528785189,0.8844090793811817,0.8869579000760842,16759391449356337029
product,on_off,tqpp_liu,20,Accuracy,0.885702510778595,0.8844217600811565,0.8869198579761604,12064842098302413465
duck,random,lir_pptd,20,MacroF1,0.6809616283285468,0.6468762091404279,0.7172092733785956,3043744364625235321
duck,random,crh,20,MacroF1,0.649230728843848,0.61639952274535,0.6840170494710893,6287464736579106357
duck,random,pptd_liang,20,MacroF1,0.649230728843848,0.6154930195754348,0.6839454571297097,10752004548128665612
duck,random,tqpp_liu,20,MacroF1,0.7084851672563977,0.6829026295590845,0.7332607473550897,7929545896150343306
duck,collusive,lir_pptd,20,MacroF1,0.35,0.35,0.35,12006902698390002101
duck,collusive,crh,20,MacroF1,0.35,0.35,0.35,10250811741057460293
duck,collusive,pptd_liang,20,MacroF1,0.35,0.35,0.35,3813595925112376496
duck,collusive,tqpp_liu,20,MacroF1,0.35,0.35,0.35,18192102217905562438
duck,on_off,lir_pptd,20,MacroF1,0.5758140720050223,0.5591828459048727,0.5919983670634601,7775058359790391561
duck,on_off,crh,20,MacroF1,0.5807788866138476,0.5622701866542931,0.5987615752542134,6926100795069266233
duck,on_off,pptd_liang,20,MacroF1,0.5807788866138476,0.5630485780939235,0.5986053538807795,11283338868639754381
duck,on_off,tqpp_liu,20,MacroF1,0.606925719671412,0.5829767039069796,0.6282379067336161,18078169811795014952
dog,random,lir_pptd,20,Accuracy,0.6847826086956522,0.6696294466403161,0.6994729907773386,2392093289385110802
dog,random,crh,20,Accuracy,0.6329380764163373,0.6154808959156786,0.6499341238471673,15378762776386243398
dog,random,pptd_liang,20,Accuracy,0.6329380764163373,0.6147546113306984,0.6503952569169961,7084428113805860043
dog,random,tqpp_liu,20,Accuracy,0.6662714097496706,0.6511198945981554,0.6808959156785244,3483277422914849883
dog,collusive,lir_pptd,20,Accuracy,0.4142292490118577,0.3942687747035573,0.4351136363636363,16977605620127782111
dog,collusive,crh,20,Accuracy,0.2709486166007905,0.2606044137022398,0.28175230566534915,18272497544195362214
dog,collusive,pptd_liang,20,Accuracy,0.2709486166007905,0.260737812911726,0.28188405797101446,3584689469310033341
dog,collusive,tqpp_liu,20,Accuracy,0.3225296442687747,0.3059272068511199,0.3399868247694334,4192620160922882974
dog,on_off,lir_pptd,20,Accuracy,0.5875494071146244,0.575296442687747,0.6008563899868248,14869275146659289693
dog,on_off,crh,20,Accuracy,0.5482213438735177,0.5416337285902503,0.5548748353096179,12466301770710326376
dog,on_off,pptd_liang,20,Accuracy,0.5482213438735177,0.5414361001317524,0.554874835309618,18012579072867951837
dog,on_off,tqpp_liu,20,Accuracy,0.5741765480895915,0.5645586297760211,0.58399209486166,9997331738058173202
weather,random,lir_pptd,20,RMSE,0.10663455991941942,0.10441374609163812,0.10899685681604199,12304530388415886787
weather,random,crh,20,RMSE,0.1285940174292193,0.1260230768130071,0.13120509387489632,10711717923419355908
weather,random,pptd_liang,20,RMSE,0.13105245456913614,0.1291571894120081,0.1329698799876947,15804618776265861303
weather,random,tqpp_liu,20,RMSE,0.10964253698787678,0.10453577107678559,0.11505109609539176,8588975678952571734
weather,collusive,lir_pptd,20,RMSE,0.22591870239312156,0.21825818597320057,0.23380474871844598,10370944615115022306
weather,collusive,crh,20,RMSE,0.48356361792964264,0.4818338908378408,0.4852343165696085,10540875146183506477
weather,collusive,pptd_liang,20,RMSE,0.4389196908370699,0.435945952025004,0.4417798779907516,4156443381071560585
weather,collusive,tqpp_liu,20,RMSE,0.119896298398649,0.10590045641805151,0.13760589092532935,7146270758822838463
weather,on_off,lir_pptd,20,RMSE,0.2402198209117419,0.2346026588712177,0.24565197063868277,13889396401270255348
weather,on_off,crh,20,RMSE,0.34212380992857555,0.34070424191423265,0.34344094128173475,10225222474732742771
weather,on_off,pptd_liang,20,RMSE,0.3106930135048878,0.3083854471851089,0.31283407035480065,13476430557656445387
weather,on_off,tqpp_liu,20,RMSE,0.1687925142851842,0.15727092083725,0.17984271636968438,17593683851368886040
