dataset,attack,baseline,n,candidate_mean_loss,baseline_mean_loss,mean_loss_delta_lir_minus_baseline,wins,ties,losses,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_family_size,holm_adjusted_p,holm_significant,direction,holm_direction
product,random,crh,20,0.3979146518854342,0.42788254365750306,-0.029967891772068933,20,0,0,-0.031796109595617676,-0.02796232370825292,17176520055260196758,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
product,random,pptd_liang,20,0.3979146518854342,0.42788254365750306,-0.029967891772068933,20,0,0,-0.031799513049707503,-0.027953307583274363,1171750648836371862,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
product,random,tqpp_liu,20,0.3979146518854342,0.4278167693186982,-0.029902117433264017,20,0,0,-0.0317679576901439,-0.027830395076579695,15918850016370990038,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
product,collusive,crh,20,0.3970428955325053,0.4033219218573372,-0.006279026324831842,19,0,1,-0.007901160671637094,-0.00462124253786352,8103562185335102815,9.5367431640625e-06,-0.9619047619047619,B2|primary|4-datasets|3-attacks|3-comparators|36,36,0.000133514404296875,True,lir_win,lir_win
product,collusive,pptd_liang,20,0.3970428955325053,0.4033219218573372,-0.006279026324831842,19,0,1,-0.007949743812995782,-0.004604120215908202,9888097716549698903,9.5367431640625e-06,-0.9619047619047619,B2|primary|4-datasets|3-attacks|3-comparators|36,36,0.000133514404296875,True,lir_win,lir_win
product,collusive,tqpp_liu,20,0.3970428955325053,0.4033009117359757,-0.006258016203470417,19,0,1,-0.007900380701987945,-0.004599241741247646,4539577758694348256,9.5367431640625e-06,-0.9619047619047619,B2|primary|4-datasets|3-attacks|3-comparators|36,36,0.000133514404296875,True,lir_win,lir_win
product,on_off,crh,20,0.2868380899652218,0.30120900794823424,-0.014370917983012394,20,0,0,-0.015356133558315908,-0.013434355888120097,12959459476677070879,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
product,on_off,pptd_liang,20,0.2868380899652218,0.30120900794823424,-0.014370917983012394,20,0,0,-0.015331738372095848,-0.01342134030769581,5667268122989223825,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
product,on_off,tqpp_liu,20,0.2868380899652218,0.30126242977333717,-0.014424339808115357,20,0,0,-0.015406314076318858,-0.013480464121441469,8368451551592159526,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
duck,random,crh,20,0.3,0.3336538461538462,-0.03365384615384616,16,2,2,-0.04663461538461539,-0.021153846153846138,12883657180102548284,0.0001068115234375,-0.9181286549707602,B2|primary|4-datasets|3-attacks|3-comparators|36,36,0.001068115234375,True,lir_win,lir_win
duck,random,pptd_liang,20,0.3,0.3336538461538462,-0.03365384615384616,16,2,2,-0.04615384615384617,-0.021153846153846145,12260674015507446311,0.0001068115234375,-0.9181286549707602,B2|primary|4-datasets|3-attacks|3-comparators|36,36,0.001068115234375,True,lir_win,lir_win
duck,random,tqpp_liu,20,0.3,0.28221153846153846,0.017788461538461545,7,0,13,-0.006249999999999993,0.04134615384615387,4006049529678144647,0.17044448852539062,0.3904761904761905,B2|primary|4-datasets|3-attacks|3-comparators|36,36,0.6817779541015625,False,lir_loss,not_significant
duck,collusive,crh,20,0.46153846153846156,0.46153846153846156,0.0,0,20,0,0.0,0.0,16477341334386011668,1.0,0.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,1.0,False,tie,not_significant
duck,collusive,pptd_liang,20,0.46153846153846156,0.46153846153846156,0.0,0,20,0,0.0,0.0,18059449387943703975,1.0,0.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,1.0,False,tie,not_significant
duck,collusive,tqpp_liu,20,0.46153846153846156,0.46153846153846156,0.0,0,20,0,0.0,0.0,5672147473988154317,1.0,0.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,1.0,False,tie,not_significant
duck,on_off,crh,20,0.3591346153846154,0.3557692307692308,0.0033653846153846,0,13,7,0.001442307692307685,0.005288461538461518,4000466806828212025,0.015625,1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,0.09375,False,lir_loss,not_significant
duck,on_off,pptd_liang,20,0.3591346153846154,0.3557692307692308,0.0033653846153846,0,13,7,0.001442307692307685,0.005288461538461518,11828266153334557454,0.015625,1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,0.09375,False,lir_loss,not_significant
duck,on_off,tqpp_liu,20,0.3591346153846154,0.33605769230769234,0.023076923076923064,1,2,17,0.007211538461538452,0.035576923076923075,3503379144644451122,0.00734710693359375,0.7894736842105263,B2|primary|4-datasets|3-attacks|3-comparators|36,36,0.05142974853515625,False,lir_loss,not_significant
dog,random,crh,20,0.32001345843027845,0.37165194799289397,-0.051638489562615526,20,0,0,-0.05659760014231232,-0.0466883040885751,10660351827697391080,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
dog,random,pptd_liang,20,0.32001345843027845,0.37131944924171284,-0.051305990811434395,20,0,0,-0.05620532418627844,-0.046433143845391156,14516872804381193800,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
dog,random,tqpp_liu,20,0.32001345843027845,0.34092680446426205,-0.02091334603398363,20,0,0,-0.025871258139545186,-0.01601380745332058,2022446804188565583,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
dog,collusive,crh,20,0.6077221671839448,0.8158193335355935,-0.2080971663516488,20,0,0,-0.2185446852275825,-0.19830948084497924,13005736656096568750,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
dog,collusive,pptd_liang,20,0.6077221671839448,0.8158193335355935,-0.2080971663516488,20,0,0,-0.2181961971496255,-0.19813077170928095,16027515085317435274,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
dog,collusive,tqpp_liu,20,0.6077221671839448,0.7340002482991983,-0.12627808111525357,20,0,0,-0.13387977210958626,-0.11850113232231012,9024057588234012907,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
dog,on_off,crh,20,0.4034920792229338,0.4426951070318754,-0.039203027808941644,20,0,0,-0.04599206721582189,-0.03307165617214885,15638481840038619843,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
dog,on_off,pptd_liang,20,0.4034920792229338,0.4426951070318754,-0.039203027808941644,20,0,0,-0.04586269645628632,-0.03304803796093604,1624079202784925690,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
dog,on_off,tqpp_liu,20,0.4034920792229338,0.4173427559775357,-0.013850676754601903,19,0,1,-0.018041723319881266,-0.009955779748332566,8930921932340950453,5.7220458984375e-06,-0.9809523809523809,B2|primary|4-datasets|3-attacks|3-comparators|36,36,8.58306884765625e-05,True,lir_win,lir_win
weather,random,crh,20,0.08436350634259707,0.09573816987834828,-0.011374663535751207,20,0,0,-0.012867841456758754,-0.010006841851672822,408282176617284767,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
weather,random,pptd_liang,20,0.08436350634259707,0.10178501354521104,-0.017421507202613973,20,0,0,-0.01804853258654258,-0.016803060038549558,827109305784802813,1.9073486328125e-06,-1.0,B2|primary|4-datasets|3-attacks|3-comparators|36,36,6.866455078125e-05,True,lir_win,lir_win
