hypothesis_id,contrast,first_method,comparator,endpoint,favorable_direction_for_first_method,dataset,scenario,endpoint_status,n,first_method_pair_wins,ties,comparator_pair_wins,mean_delta_first_minus_comparator,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial_first_minus_comparator,mean_direction,holm_adjusted_p,holm_family_size,holm_direction
full_vs_cowa|post_switch_primary_loss|product|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,post_switch_primary_loss,lower,product,benign_to_malicious,available,15,15,0,0,-0.10945101754615304,-0.11859523045943063,-0.10020476595905672,13334664151188129191,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_cowa|post_switch_primary_loss|product|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,post_switch_primary_loss,lower,product,malicious_to_benign,available,15,15,0,0,-0.02980996549178785,-0.033192903706169556,-0.02610853855486771,11835405951731322864,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_cowa|post_switch_primary_loss|duck|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,post_switch_primary_loss,lower,duck,benign_to_malicious,available,15,4,8,3,0.003703703703703707,-0.006172839506172847,0.014814814814814833,9582723931214544500,0.625,0.2857142857142857,comparator_win,1.0,8,nonsignificant
full_vs_cowa|post_switch_primary_loss|duck|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,post_switch_primary_loss,lower,duck,malicious_to_benign,available,15,3,4,8,0.012345679012345664,0.0012345679012345544,0.023456790123456795,9105539744556496027,0.1005859375,0.45454545454545453,comparator_win,0.3017578125,8,nonsignificant
full_vs_cowa|post_switch_primary_loss|dog|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,post_switch_primary_loss,lower,dog,benign_to_malicious,available,15,15,0,0,-0.021342930299257688,-0.029031022672357253,-0.014723095160297696,3865297666726962008,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_cowa|post_switch_primary_loss|dog|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,post_switch_primary_loss,lower,dog,malicious_to_benign,available,15,15,0,0,-0.014217077169041146,-0.017212757287285732,-0.011076880950426294,3632563346631868872,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_cowa|post_switch_primary_loss|weather|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,post_switch_primary_loss,lower,weather,benign_to_malicious,available,15,15,0,0,-0.03036302071549924,-0.03376290335552989,-0.02692149411328414,6831222266952334218,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_cowa|post_switch_primary_loss|weather|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,post_switch_primary_loss,lower,weather,malicious_to_benign,available,15,6,0,9,0.0002560417336508116,-0.0005249047345088909,0.0009985531004675426,16803399978217279428,0.53387451171875,0.2833333333333333,comparator_win,1.0,8,nonsignificant
full_vs_cowa|early_post_point_loss|product|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,early_post_point_loss,lower,product,benign_to_malicious,available,15,15,0,0,-0.05674481821270814,-0.06428814135236156,-0.04953958545701666,176203686418740044,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_cowa|early_post_point_loss|product|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,early_post_point_loss,lower,product,malicious_to_benign,available,15,15,0,0,-0.032279986408426775,-0.03717295276928304,-0.026911314984709483,12735451608650680984,6.103515625e-05,-1.0,first_win,0.00048828125,8,first_win
full_vs_cowa|early_post_point_loss|duck|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,early_post_point_loss,lower,duck,benign_to_malicious,available,15,0,12,3,0.019047619047619053,0.0,0.042857142857142864,16287180357563687604,0.25,1.0,comparator_win,0.75,8,nonsignificant
full_vs_cowa|early_post_point_loss|duck|malicious_to_benign,full_vs_cowa,lir_pptd,cowa,early_post_point_loss,lower,duck,malicious_to_benign,available,15,0,13,2,0.009523809523809525,0.0,0.023809523809523815,4836831343975581588,0.5,1.0,comparator_win,1.0,8,nonsignificant
full_vs_cowa|early_post_point_loss|dog|benign_to_malicious,full_vs_cowa,lir_pptd,cowa,early_post_point_loss,lower,dog,benign_to_malicious,available,15,9,1,5,-0.00350877192982456,-0.012631578947368445,0.006315789473684228,4715617765122086885,0.54638671875,-0.1523809523809524,first_win,1.0,8,nonsignificant
