family,dataset,cell,abs_diff,eval_count_match
A1,product,1/10,0.0,True
A1,product,3/10,0.0,True
A1,product,1/2,0.0,True
A1,product,7/10,0.0,True
A1,product,9/10,0.0,True
A1,duck,1/10,0.0,True
A1,duck,3/10,0.0,True
A1,duck,1/2,0.0,True
A1,duck,7/10,0.0,True
A1,duck,9/10,0.0,True
A1,dog,1/10,0.0,True
A1,dog,3/10,0.0,True
A1,dog,1/2,0.0,True
A1,dog,7/10,0.0,True
A1,dog,9/10,0.0,True
A1,weather,1/10,3.469446951953614e-17,True
A1,weather,3/10,0.0,True
A1,weather,1/2,4.163336342344337e-17,True
A1,weather,7/10,1.942890293094024e-16,True
A1,weather,9/10,2.7755575615628914e-17,True
A2,product,random,0.0,True
A2,product,collusive,0.0,True
A2,product,on_off,0.0,True
A2,duck,random,0.0,True
A2,duck,collusive,0.0,True
A2,duck,on_off,0.0,True
A2,dog,random,0.0,True
A2,dog,collusive,0.0,True
A2,dog,on_off,0.0,True
A2,weather,random,2.7755575615628914e-17,True
A2,weather,collusive,1.3877787807814457e-16,True
A2,weather,on_off,2.220446049250313e-16,True
A3,product,benign_to_malicious,0.0,True
A3,product,malicious_to_benign,0.0,True
A3,duck,benign_to_malicious,0.0,True
A3,duck,malicious_to_benign,0.0,True
A3,dog,benign_to_malicious,0.0,True
A3,dog,malicious_to_benign,0.0,True
A3,weather,benign_to_malicious,8.326672684688674e-17,True
A3,weather,malicious_to_benign,0.0,True
