capability,method,tasks,Accuracy,MacroF1
50,LIR-PPTD,128473,0.9283662715123022,0.9282783691636755
50,DS,128473,0.9414507328388066,0.941398523549942
50,LA-onepass,128473,0.9216411230375254,0.9215428995138112
50,MV,128473,0.8985312088921408,0.8983499976360777
52,LIR-PPTD,17488,0.8887808783165599,0.8820544990567104
52,DS,17488,0.7577767612076852,0.7500770624155556
52,LA-onepass,17488,0.8736276303751144,0.866552086201296
52,MV,17488,0.8724268069533394,0.8615109912705506
53,LIR-PPTD,86111,0.8713520920672155,0.8657855132146978
53,DS,86111,0.8643262765500342,0.8585030053179429
53,LA-onepass,86111,0.8712824145579543,0.8657811717273091
53,MV,86111,0.870039832309461,0.8652119886850747
56,LIR-PPTD,690242,0.9596576273249092,0.9596537722762083
56,DS,690242,0.9712100973281834,0.9712074168542043
56,LA-onepass,690242,0.9624436067350292,0.9624395032588934
56,MV,690242,0.9413176827837193,0.9413653644712082
69,LIR-PPTD,4711,0.8683931224793038,0.785295460922323
69,DS,4711,0.8367650180428784,0.7611143630595655
69,LA-onepass,4711,0.8824028868605391,0.8040966077192045
69,MV,4711,0.8613882402886861,0.7596011145249116
126,LIR-PPTD,22622,0.9525682963486871,0.9369765862230787
126,DS,22622,0.8682256210768279,0.8436531637475345
126,LA-onepass,22622,0.9502696490142339,0.9345254250504765
126,MV,22622,0.9241888427194767,0.9046404401028609
