capability,chunk,prefix_tasks,prefix_annotations,scoring_tasks,DS_iterations,DS_final_elbo_per_annotation,DS_seconds,LA_seconds
50,1,25398,161933,24183,8,-1.8645280153614525,0.2384030818939209,1.0191221237182617
50,2,55369,350724,28418,10,-1.861199501563927,0.4936485290527344,1.9648950099945068
50,3,80350,537048,23682,10,-1.8730607398663173,0.8985373973846436,2.8055686950683594
50,4,105838,708279,24198,10,-1.8839327223296083,1.2124598026275635,3.7257332801818848
50,5,135336,912616,27992,10,-1.8998381282679988,1.6302974224090576,4.812346696853638
52,1,3729,26760,3528,2,-1.5497222441405054,0.008811473846435547,0.14160680770874023
52,2,7290,46987,3404,10,-1.5268579160856564,0.0873720645904541,0.24953794479370117
52,3,10943,72228,3486,10,-1.5317862893813992,0.11971449851989746,0.3828413486480713
52,4,14810,103408,3680,10,-1.688141696031107,0.15980076789855957,0.6010591983795166
52,5,18390,131842,3390,10,-1.6877478227050073,0.2312479019165039,0.6660289764404297
53,1,16855,96632,15991,2,-0.9095831460567155,0.07528162002563477,0.5886197090148926
53,2,36711,260366,18868,2,-1.6875416446359524,0.15377426147460938,1.4887969493865967
53,3,55697,399381,18001,2,-1.798460653009441,0.27994346618652344,2.31229567527771
53,4,70697,508321,14261,3,-1.8432085029839351,0.3083980083465576,2.8113441467285156
53,5,90697,653105,18990,3,-1.8721039416396332,0.3718452453613281,3.477752447128296
56,1,141585,766541,134490,5,-1.7872912347962062,0.5831623077392578,4.040476083755493
56,2,291585,1541371,142439,4,-1.7759973956536632,1.1529548168182373,8.718008041381836
56,3,434085,2331389,135438,4,-1.7921272154961847,1.5272536277770996,11.91236162185669
56,4,584083,3262930,142526,4,-1.8303394599574458,2.652580738067627,17.66037607192993
56,5,726583,4142226,135349,4,-1.849011927294615,4.595813751220703,26.245455503463745
69,1,956,5907,905,10,-1.6998124655888154,0.013981819152832031,0.05277442932128906
69,2,1954,12271,955,4,-1.7049780863607573,0.00636601448059082,0.05270743370056152
69,3,2949,18259,958,3,-1.6841645026958338,0.0068166255950927734,0.08008456230163574
69,4,3945,24152,944,3,-1.6787606103342605,0.008872509002685547,0.14095520973205566
69,5,4942,30353,949,2,-1.6839048579698872,0.00822138786315918,0.1824030876159668
126,1,4087,28581,3890,3,-1.8365559450908262,0.010798454284667969,0.23352622985839844
126,2,8042,52376,3729,2,-1.7775683653734002,0.016713380813598633,0.28722238540649414
126,3,15943,99603,7503,2,-1.7223214662418822,0.03786277770996094,0.6985032558441162
126,4,19895,119893,3734,2,-1.688688521909805,0.03505992889404297,0.890981912612915
126,5,23851,146177,3766,2,-1.6986682629582932,0.03768444061279297,0.984025239944458
