capability,chunk,task_count,taskset_count,first_taskset_id,last_taskset_id
50,1,25398,80,7723,7786
50,2,29971,6,7789,8199
50,3,24981,5,8205,8202
50,4,25488,4,8201,8849
50,5,29498,3,8848,8879
52,1,3729,19,2286,2317
52,2,3561,20,2315,2399
52,3,3653,21,2401,2350
52,4,3867,20,2341,2302
52,5,3580,20,2294,2305
53,1,16855,84,3660,7373
53,2,19856,4,7376,7374
53,3,18986,4,7753,7755
53,4,15000,3,7370,7371
53,5,20000,5,7752,8608
56,1,141585,20,8529,8827
56,2,150000,20,8828,8843
56,3,142500,19,8839,8917
56,4,149998,20,8914,8943
56,5,142500,19,8942,8960
69,1,956,5,7003,6999
69,2,998,5,6998,7000
69,3,995,5,6995,6990
69,4,996,5,6983,6982
69,5,997,5,6992,6988
126,1,4087,10,8460,8485
126,2,3955,1,8476,8476
126,3,7901,2,8488,8489
126,4,3952,1,8487,8487
126,5,3956,1,8486,8486
