dataset,selector_seed_index,seed_commitment_sha256,cal_count_1pct,cal_count_2pct,cal_count_5pct,cal_count_10pct,common_scoring_count,mask_10pct_sha256
dog,1,b98c4a45989902b5187d867d701c641a16032860dc39258118739b10718520bc,10,16,42,82,725,72a72c7b9c0f673967e859682f7896aa32b32aff3b3c21fe035526563aece08d
dog,2,102fc3165bc9e8bc96ee71385393984cbec15160281b3609117babfb6d4e78ff,10,19,44,94,713,3e86ceb1ec5fe5a207dbbf4f12765eac125b8061d9ce31b8b2a7d66ca6369fec
dog,3,6513155283e3a2c9a0816e3bb9505149ce4ee0fddaf442b8fa989b922310103e,11,22,52,99,708,014a0dafe76926ba3cd133444fd8d0d13562cea2491d4b8b63b3aacdc430f74d
dog,4,3ec447b0cf506a7aec062a630ea434ec195b9c6a2abe023601b804a3d22ee15a,9,18,42,85,722,1635aa729450fc6a22bebec4fd70039474c9b59792ed029f3e6bc4ec1faf341f
dog,5,edd53fdb66b54f9faaef1301bd6c328403522f2b30b639de3de88538a353c129,6,13,33,74,733,987ed971567ac64fa263724099948aa09864bd9da5f6289e15c424848bf5c79b
dog,6,184b73e9f315356d1b2e852f4fb9ac753879ce7191e7a85e8443537dfa3e9053,7,12,39,76,731,fe26cdd74e4fba5677f649187e8b892b1c27a3eb800408f464182a6a3a69c154
dog,7,b6db344a7024ed21a853a18dcd9cde709d4ffa437d31ca63e0a7fa838e5f993d,6,12,32,75,732,0a0d1bebba9423a68e64e63a1a9d759e0d047e94b80c09f46753c16df89383ad
dog,8,8903b714f3503ec3d0ce7d61b4669bb9397a9ac62bc88abc0175bc8f903a3cd4,4,16,37,81,726,386bec83e06d3ccf2a19a68af0a9da4e6beccb00a915c00ee3f2b1e403606c6a
dog,9,ed1fa4e723a48581cd0b17d296e7ff4c4d4cbc2d246c9aceb17a4ed2a1b5c9a9,15,19,44,77,730,f6c6543ee9610ac5c64901b7777fec8d8ea1cdccadf4117daecaa6dd0b36f3d8
dog,10,6e41abb74fd3960d51bae09885f22180ec3fda194b3414854359559193464075,8,17,41,81,726,0ab2d5d82fb1c7e5d87c412d001706582e689b1938ce42e34b96c5f35146f59b
weather,1,b98c4a45989902b5187d867d701c641a16032860dc39258118739b10718520bc,26,38,84,165,1535,49390fbb3186b43fe667d40af752a120f5fc1785ee0067df4351fa7b842e4c67
weather,2,102fc3165bc9e8bc96ee71385393984cbec15160281b3609117babfb6d4e78ff,19,37,93,163,1537,0004a5c5ab4cd1695dd39ce343a17d30fc44cac44e374cded517d473c04fdbd9
weather,3,6513155283e3a2c9a0816e3bb9505149ce4ee0fddaf442b8fa989b922310103e,19,40,101,185,1515,6e29e6221bafcaeac4200def9eb588a9524263ed590213620c38aa332f2ec7af
weather,4,3ec447b0cf506a7aec062a630ea434ec195b9c6a2abe023601b804a3d22ee15a,26,35,79,164,1536,3d1daea6766d766760a1643df19ceb5412c5e63d0ef36b9f5369727824f7fb1c
weather,5,edd53fdb66b54f9faaef1301bd6c328403522f2b30b639de3de88538a353c129,13,34,73,173,1527,2657d10ad6be3dab26551d3633130d47237b768801699a64e51c0c1324a19b3e
weather,6,184b73e9f315356d1b2e852f4fb9ac753879ce7191e7a85e8443537dfa3e9053,15,26,79,161,1539,18b89765bd0a7512b1033fbab79b2aa2ee3e35ccde78f127f9d36ca92480bf36
weather,7,b6db344a7024ed21a853a18dcd9cde709d4ffa437d31ca63e0a7fa838e5f993d,24,37,87,175,1525,d35f39c248817c6557c11072437193739386eaef40d02e839088845e74c61bf4
weather,8,8903b714f3503ec3d0ce7d61b4669bb9397a9ac62bc88abc0175bc8f903a3cd4,17,37,96,179,1521,c0f949c52cd6100be3519574edb3d569a4d2f0b49e690f8e8fa8b99b83fada66
weather,9,ed1fa4e723a48581cd0b17d296e7ff4c4d4cbc2d246c9aceb17a4ed2a1b5c9a9,14,33,89,173,1527,843856cd7a7389f568565e4b9ba4494cb2ecc162cd71854f62a05fa0e74f95be
weather,10,6e41abb74fd3960d51bae09885f22180ec3fda194b3414854359559193464075,16,37,94,169,1531,f38b1acda6b22a9a575e2db904fea1b4674a9e297206ebe73bc30fdb18946efd
