D,m,rep,method,seconds,share_secret,reconstruct,local_add,local_sub,secure_mul,secure_sqr,secure_div,public_mul,public_mul_local,public_mul_rescaled,nonlinear_or_rescaled_calls,high_level_calls
2,20,0,full,0.029637610999998287,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,0,fast,0.001073059999725956,42,86,77,0,40,0,2,0,0,0,42,42
2,20,1,full,0.02947376499969323,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,1,fast,0.0010812909999913245,42,86,77,0,40,0,2,0,0,0,42,42
2,20,2,full,0.029583236000235047,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,2,fast,0.0011529550001796451,42,86,77,0,40,0,2,0,0,0,42,42
2,20,3,full,0.029343059999973775,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,3,fast,0.0010785829999804264,42,86,77,0,40,0,2,0,0,0,42,42
2,20,4,full,0.029321127999992314,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,4,fast,0.0010846489999494224,42,86,77,0,40,0,2,0,0,0,42,42
2,20,5,full,0.02968114900022556,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,5,fast,0.0012812069999199593,42,86,77,0,40,0,2,0,0,0,42,42
2,20,6,full,0.029473559000052774,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,6,fast,0.001059214000179054,42,86,77,0,40,0,2,0,0,0,42,42
2,20,7,full,0.02949814300018261,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,7,fast,0.001063344000158395,42,86,77,0,40,0,2,0,0,0,42,42
2,20,8,full,0.02944634000004953,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,8,fast,0.001073540000106732,42,86,77,0,40,0,2,0,0,0,42,42
2,20,9,full,0.029912598000009893,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,9,fast,0.0010555329999988317,42,86,77,0,40,0,2,0,0,0,42,42
2,20,10,full,0.02935627500028204,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,10,fast,0.0010492729998077266,42,86,77,0,40,0,2,0,0,0,42,42
2,20,11,full,0.029817179000019678,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,11,fast,0.0010702719996515953,42,86,77,0,40,0,2,0,0,0,42,42
2,20,12,full,0.02966335299970524,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,12,fast,0.0010751339996204479,42,86,77,0,40,0,2,0,0,0,42,42
2,20,13,full,0.029290663999745448,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,13,fast,0.0010833139999704144,42,86,77,0,40,0,2,0,0,0,42,42
2,20,14,full,0.030590400000164664,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,14,fast,0.0010653220001586305,42,86,77,0,40,0,2,0,0,0,42,42
2,20,15,full,0.0303752979998535,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,15,fast,0.0010677440000108618,42,86,77,0,40,0,2,0,0,0,42,42
2,20,16,full,0.030897017999905074,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,16,fast,0.002370448999954533,42,86,77,0,40,0,2,0,0,0,42,42
2,20,17,full,0.029583259999981237,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,17,fast,0.0010584739998193982,42,86,77,0,40,0,2,0,0,0,42,42
2,20,18,full,0.031599328000083915,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,18,fast,0.0011597049997362774,42,86,77,0,40,0,2,0,0,0,42,42
2,20,19,full,0.0300898049999887,1322,2206,1087,440,640,440,242,0,0,0,1322,1322
2,20,19,fast,0.0010601520002637699,42,86,77,0,40,0,2,0,0,0,42,42
2,50,0,full,0.07399102499994115,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,0,fast,0.002613879999898927,102,206,197,0,100,0,2,0,0,0,102,102
2,50,1,full,0.07409637800037672,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,1,fast,0.002588276000096812,102,206,197,0,100,0,2,0,0,0,102,102
2,50,2,full,0.0733287449997988,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,2,fast,0.00256536100005178,102,206,197,0,100,0,2,0,0,0,102,102
2,50,3,full,0.07415127400008714,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,3,fast,0.0025592450001568068,102,206,197,0,100,0,2,0,0,0,102,102
2,50,4,full,0.07333052900003167,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,4,fast,0.002540312000292033,102,206,197,0,100,0,2,0,0,0,102,102
2,50,5,full,0.07492911500003174,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,5,fast,0.0026056209999296698,102,206,197,0,100,0,2,0,0,0,102,102
2,50,6,full,0.07758827299994664,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,6,fast,0.0025849580001704453,102,206,197,0,100,0,2,0,0,0,102,102
2,50,7,full,0.07665201200006777,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,7,fast,0.0025912649998645065,102,206,197,0,100,0,2,0,0,0,102,102
2,50,8,full,0.07409314200003791,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,8,fast,0.00260842900024727,102,206,197,0,100,0,2,0,0,0,102,102
2,50,9,full,0.07305949400006284,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,9,fast,0.0025538929999129323,102,206,197,0,100,0,2,0,0,0,102,102
2,50,10,full,0.07380674700016243,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,10,fast,0.002568793000136793,102,206,197,0,100,0,2,0,0,0,102,102
2,50,11,full,0.07333993700012797,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,11,fast,0.0026072119999298593,102,206,197,0,100,0,2,0,0,0,102,102
2,50,12,full,0.07321924100006072,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,12,fast,0.002604251999855478,102,206,197,0,100,0,2,0,0,0,102,102
2,50,13,full,0.07373382600007972,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,13,fast,0.0025940010000340408,102,206,197,0,100,0,2,0,0,0,102,102
2,50,14,full,0.07388141100000212,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,14,fast,0.0025952849996428995,102,206,197,0,100,0,2,0,0,0,102,102
2,50,15,full,0.07423674099982236,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,15,fast,0.0025933910001185723,102,206,197,0,100,0,2,0,0,0,102,102
2,50,16,full,0.07313592799982871,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,16,fast,0.0025366240001858387,102,206,197,0,100,0,2,0,0,0,102,102
2,50,17,full,0.07299589600006584,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,17,fast,0.002570590999766864,102,206,197,0,100,0,2,0,0,0,102,102
2,50,18,full,0.07409827799983759,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,18,fast,0.002581245999863313,102,206,197,0,100,0,2,0,0,0,102,102
2,50,19,full,0.07427450999966823,3272,5446,2767,1100,1600,1100,572,0,0,0,3272,3272
2,50,19,fast,0.0025929290000021865,102,206,197,0,100,0,2,0,0,0,102,102
2,100,0,full,0.16046467599971947,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,0,fast,0.0052728739997292,202,406,397,0,200,0,2,0,0,0,202,202
2,100,1,full,0.15030170399995768,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,1,fast,0.007179855000231328,202,406,397,0,200,0,2,0,0,0,202,202
2,100,2,full,0.14898563899987494,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,2,fast,0.005049598999903537,202,406,397,0,200,0,2,0,0,0,202,202
2,100,3,full,0.14705675499999415,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,3,fast,0.005170057999748678,202,406,397,0,200,0,2,0,0,0,202,202
2,100,4,full,0.15013155999986338,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,4,fast,0.005240253000010853,202,406,397,0,200,0,2,0,0,0,202,202
2,100,5,full,0.1515235400001984,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,5,fast,0.00513789300021017,202,406,397,0,200,0,2,0,0,0,202,202
2,100,6,full,0.1511034860000109,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,6,fast,0.00547285099992223,202,406,397,0,200,0,2,0,0,0,202,202
2,100,7,full,0.14984297299997706,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,7,fast,0.005196169000100781,202,406,397,0,200,0,2,0,0,0,202,202
2,100,8,full,0.1654203010002675,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,8,fast,0.0055766129999028635,202,406,397,0,200,0,2,0,0,0,202,202
2,100,9,full,0.14784976600003574,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,9,fast,0.005141860999628989,202,406,397,0,200,0,2,0,0,0,202,202
2,100,10,full,0.15261971900008575,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,10,fast,0.005134342000019387,202,406,397,0,200,0,2,0,0,0,202,202
2,100,11,full,0.14759167900001557,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
2,100,11,fast,0.005088421999971615,202,406,397,0,200,0,2,0,0,0,202,202
2,100,12,full,0.14781051999989359,6522,10846,5567,2200,3200,2200,1122,0,0,0,6522,6522
