family,contrast,n,candidate_mean_loss,comparator_mean_loss,mean_delta_candidate_minus_comparator,ci_low,ci_high,raw_p,rank_biserial,dataset,rho,holm_p,holm_significant,direction,attack,scenario
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.18272626375796733,0.17991801743452074,0.0028082463234465867,0.0005379392793158582,0.004635120524934622,0.015882492065429688,0.7142857142857143,dog,1/10,0.07941246032714844,False,comparator_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.34863600751374474,0.3740402160461466,-0.02540420853240191,-0.03208435073438341,-0.018994375012154584,1.9073486328125e-06,-1.0,dog,1/2,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.23149909228397902,0.2334972166263439,-0.001998124342364893,-0.005402565312822599,0.0010636105043804822,0.25926971435546875,-0.23809523809523808,dog,3/10,0.5185394287109375,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.5676610786292716,0.6288193494725862,-0.061158270843314586,-0.06673225538273068,-0.05578758976088459,1.9073486328125e-06,-1.0,dog,7/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.7992004685674616,0.844662541064477,-0.04546207249701547,-0.05162548678283447,-0.03933821845530852,1.9073486328125e-06,-1.0,dog,9/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.26105769230769227,0.26634615384615384,-0.005288461538461537,-0.009615384615384612,-0.0014423076923076796,0.03515625,-0.7454545454545455,duck,1/10,0.10546875,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.29471153846153847,0.30865384615384617,-0.013942307692307688,-0.024519230769230772,-0.003846153846153837,0.019744873046875,-0.6081871345029239,duck,1/2,0.07941246032714844,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.2605769230769231,0.2605769230769231,-2e-18,-0.007211538461538486,0.007211538461538469,0.9975128173828125,-0.032679738562091505,duck,3/10,0.9975128173828125,False,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.34278846153846154,0.3956730769230769,-0.05288461538461538,-0.06683894230769231,-0.039423076923076915,5.7220458984375e-06,-0.9809523809523809,duck,7/10,4.57763671875e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.5543269230769231,0.6879807692307692,-0.13365384615384615,-0.1490384615384615,-0.11875,1.9073486328125e-06,-1.0,duck,9/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.24450395911864464,0.25839540729538657,-0.013891448176741915,-0.015810814190839056,-0.012041368472555969,1.9073486328125e-06,-1.0,product,1/10,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.4180055314137334,0.44183019684912894,-0.02382466543539551,-0.025255437792502652,-0.022434902368467718,1.9073486328125e-06,-1.0,product,1/2,3.814697265625e-05,True,candidate_win,,
A1-persistent-ratio,Tuned-LIR-vs-Tuned-EMA,20,0.3285886155820197,0.35245118287752375,-0.023862567295504088,-0.02574770134609379,-0.021933710163653346,1.9073486328125e-06,-1.0,product,3/10,3.814697265625e-05,True,candidate_win,,
