dataset,rho,n,lir_pptd,crh,pptd_liang,tqpp_liu
product,1/10,20,0.7455754121804163,0.6967862327552401,0.6967862327552401,0.6968949763777319
product,3/10,20,0.6472201908321782,0.5366615249018531,0.5366615249018531,0.5368154600116423
product,1/2,20,0.5511381651978416,0.4121563949287236,0.4121563949287236,0.4123278661085026
product,7/10,20,0.46718807848600247,0.3042228968700223,0.3042228968700223,0.30439406521141954
product,9/10,20,0.3037321709588537,0.1533565041637961,0.1533565041637961,0.15344315928498245
duck,1/10,20,0.7370192307692307,0.7528846153846154,0.7528846153846154,0.7831730769230769
duck,3/10,20,0.7331730769230769,0.7379807692307693,0.7379807692307693,0.7346153846153846
duck,1/2,20,0.6384615384615385,0.4543269230769231,0.4543269230769231,0.5745192307692307
duck,7/10,20,0.48413461538461544,0.27740384615384617,0.27740384615384617,0.41009615384615383
duck,9/10,20,0.23317307692307693,0.23076923076923078,0.23076923076923078,0.2951923076923077
dog,1/10,20,0.8240128888324387,0.814659016035811,0.8145989335989394,0.8086681354354702
dog,3/10,20,0.7554027243289297,0.7139754148275295,0.7138547522847598,0.7171239874695733
dog,1/2,20,0.5893429415010918,0.4708361498269976,0.4707131105243521,0.48956271243571947
dog,7/10,20,0.3279972893718448,0.2116365293171391,0.21157588121878707,0.230994164849967
dog,9/10,20,0.13270438311672,0.10282859643208715,0.10271979308568199,0.11454223397521601
weather,1/10,9,0.026135729507002044,0.021070585623327576,0.025389377148406448,0.07640631297212126
weather,3/10,20,0.053985505764184226,0.057824290490497955,0.07404419580720538,0.05751958996892857
weather,1/2,20,0.11063552227766446,0.18456795742814025,0.17359415396998368,0.046015370808122395
weather,7/10,20,0.1507228709827862,0.23791704958024842,0.2209390853862625,0.054407533693689045
weather,9/10,9,0.2464817411156145,0.2869083019999146,0.2865683674835245,0.13701888239053614
