dataset,rho,n,comparator,candidate_mean_loss,comparator_mean_loss,mean_loss_delta_lir_minus_comparator,wins,ties,losses,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_adjusted_p,holm_significant,direction,holm_direction
product,1/10,20,crh,0.2544245878195836,0.3032137672447598,-0.048789179425176195,20,0,0,-0.057005477751347414,-0.04103568769726264,14038416514168399313,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,1/10,20,pptd_liang,0.2544245878195836,0.3032137672447598,-0.048789179425176195,20,0,0,-0.05728346539165974,-0.040992453722264593,1273674755936091530,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,1/10,20,tqpp_liu,0.2544245878195836,0.3031050236222681,-0.04868043580268448,20,0,0,-0.057223208562682426,-0.040706413598500704,881554229047601480,1.9073486328125e-06,-1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,3/10,20,crh,0.3527798091678218,0.46333847509814685,-0.11055866593032503,20,0,0,-0.12105724082807971,-0.09923516679226942,7516957805051449549,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,3/10,20,pptd_liang,0.3527798091678218,0.46333847509814685,-0.11055866593032503,20,0,0,-0.1211042781056076,-0.09980489688101991,1739434201636975656,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,3/10,20,tqpp_liu,0.3527798091678218,0.46318453998835774,-0.11040473082053588,20,0,0,-0.12084631062384181,-0.09951599638450152,17466299125535646404,1.9073486328125e-06,-1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,1/2,20,crh,0.44886183480215835,0.5878436050712764,-0.1389817702691181,20,0,0,-0.1463309921257051,-0.13111510794311237,7853537731793727656,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,1/2,20,pptd_liang,0.44886183480215835,0.5878436050712764,-0.1389817702691181,20,0,0,-0.14653595008638692,-0.13099079819827503,2054214159094264345,1.9073486328125e-06,-1.0,B1|pptd_liang|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,1/2,20,tqpp_liu,0.44886183480215835,0.5876721338914974,-0.138810299089339,20,0,0,-0.14631217492483253,-0.1308361262614783,10392275870202666459,1.9073486328125e-06,-1.0,B1|tqpp_liu|20-cells,3.814697265625e-05,True,lir_win,lir_win
product,7/10,20,crh,0.5328119215139975,0.6957771031299778,-0.1629651816159802,20,0,0,-0.16969655159736347,-0.1558119280539436,6612885751961390143,1.9073486328125e-06,-1.0,B1|crh|20-cells,3.814697265625e-05,True,lir_win,lir_win
