capability,time_bin_30d,method,n,accuracy,macro_f1
50,0,lir_pptd,33667,0.927258145958951,0.9269114652484284
50,0,cowa,33667,0.926574984406095,0.9262437794239795
50,0,no_hr,33667,0.9229809605845487,0.9226770964236072
50,0,mv,33667,0.9229809605845487,0.9226770964236072
50,0,lir_reset30d,33667,0.927258145958951,0.9269114652484284
50,1,lir_pptd,47355,0.9250554323725055,0.9247383040939194
50,1,cowa,47355,0.9179812057860839,0.9175967674416108
50,1,no_hr,47355,0.9035582303874987,0.9028940640645285
50,1,mv,47355,0.9035582303874987,0.9028940640645285
50,1,lir_reset30d,47355,0.9250976665610812,0.9247799880169844
50,2,lir_pptd,47451,0.9324566394807274,0.9324098537029811
50,2,cowa,47451,0.9189268930054161,0.9188680947433636
50,2,no_hr,47451,0.8761669933194243,0.8760054209232907
50,2,mv,47451,0.8761669933194243,0.8760054209232907
50,2,lir_reset30d,47451,0.9319297801943057,0.9318808024962172
