capability,reentry_group,method,n,accuracy,macro_f1
53,non_reentry,lir_pptd,86097,0.8713311729793141,0.8657609484387994
53,non_reentry,cowa,86097,0.8710872620416507,0.86541514827776
53,non_reentry,no_hr,86097,0.8700186998385542,0.8651876971710889
53,non_reentry,mv,86097,0.8700186998385542,0.8651876971710889
53,non_reentry,lir_reset30d,86097,0.8713776322055357,0.8658079209272969
53,reentry30,lir_pptd,14,1.0,1.0
53,reentry30,cowa,14,1.0,1.0
53,reentry30,no_hr,14,1.0,1.0
53,reentry30,mv,14,1.0,1.0
53,reentry30,lir_reset30d,14,1.0,1.0
