capability,method,n,accuracy,macro_f1
50,lir_pptd,128473,0.9283662715123022,0.9282783691636755
50,cowa,128473,0.9205825348516808,0.9204880854683397
50,no_hr,128473,0.8985312088921408,0.8983499976360777
50,mv,128473,0.8985312088921408,0.8983499976360777
50,lir_reset30d,128473,0.9281872455691079,0.9280989110774499
52,lir_pptd,17488,0.8887808783165599,0.8820544990567104
52,cowa,17488,0.8955855443732845,0.8902056844181162
52,no_hr,17488,0.8724268069533394,0.8615109912705506
52,mv,17488,0.8724268069533394,0.8615109912705506
52,lir_reset30d,17488,0.8887808783165599,0.8820544990567104
53,lir_pptd,86111,0.8713520920672155,0.8657855132146978
53,cowa,86111,0.871108220784801,0.8654398164013423
53,no_hr,86111,0.870039832309461,0.8652119886850747
53,mv,86111,0.870039832309461,0.8652119886850747
53,lir_reset30d,86111,0.8713985437400564,0.8658324770263546
56,lir_pptd,690242,0.9596576273249092,0.9596537722762083
56,cowa,690242,0.9598285818596956,0.9598243790359225
56,no_hr,690242,0.9413176827837193,0.9413653644712082
56,mv,690242,0.9413176827837193,0.9413653644712082
56,lir_reset30d,690242,0.9596576273249092,0.9596537722762083
69,lir_pptd,4711,0.8683931224793038,0.785295460922323
69,cowa,4711,0.8649968159626407,0.7765927418115574
69,no_hr,4711,0.8613882402886861,0.7596011145249116
69,mv,4711,0.8613882402886861,0.7596011145249116
69,lir_reset30d,4711,0.8683931224793038,0.785295460922323
126,lir_pptd,22622,0.9525682963486871,0.9369765862230787
126,cowa,22622,0.9476173636283264,0.9312296827709191
126,no_hr,22622,0.9241888427194767,0.9046404401028609
126,mv,22622,0.9241888427194767,0.9046404401028609
126,lir_reset30d,22622,0.9525682963486871,0.9369765862230787
