capability,cold_bin,method,n,accuracy,macro_f1
50,all_cold,lir_pptd,50,1.0,1.0
50,all_cold,cowa,50,1.0,1.0
50,all_cold,no_hr,50,1.0,1.0
50,all_cold,mv,50,1.0,1.0
50,all_cold,lir_reset30d,50,1.0,1.0
50,history_all,lir_pptd,114057,0.9305785703639409,0.9305083728951015
50,history_all,cowa,114057,0.9227228491017649,0.9226400082446592
50,history_all,no_hr,114057,0.8988400536573818,0.8986481943156931
50,history_all,mv,114057,0.8988400536573818,0.8986481943156931
50,history_all,lir_reset30d,114057,0.9304032194429102,0.9303312391597546
50,majority_cold,lir_pptd,480,1.0,1.0
50,majority_cold,cowa,480,1.0,1.0
50,majority_cold,no_hr,480,1.0,1.0
50,majority_cold,mv,480,1.0,1.0
50,majority_cold,lir_reset30d,480,1.0,1.0
50,minority_cold,lir_pptd,13886,0.907460751836382,0.9067567372405206
50,minority_cold,cowa,13886,0.8999711940083538,0.8993543639751099
50,minority_cold,no_hr,13886,0.8921215612847472,0.8916159736713137
50,minority_cold,mv,13886,0.8921215612847472,0.8916159736713137
50,minority_cold,lir_reset30d,13886,0.907244706899035,0.9065622854040388
52,all_cold,lir_pptd,32,1.0,0.6666666666666666
52,all_cold,cowa,32,1.0,0.6666666666666666
52,all_cold,no_hr,32,1.0,0.6666666666666666
52,all_cold,mv,32,1.0,0.6666666666666666
52,all_cold,lir_reset30d,32,1.0,0.6666666666666666
52,history_all,lir_pptd,17022,0.8919045940547526,0.8850761054929395
52,history_all,cowa,17022,0.8979555868875573,0.8924650263148477
52,history_all,no_hr,17022,0.8739278580660322,0.862663090826533
52,history_all,mv,17022,0.8739278580660322,0.862663090826533
52,history_all,lir_reset30d,17022,0.8919045940547526,0.8850761054929395
52,majority_cold,lir_pptd,6,0.6666666666666666,0.4166666666666667
52,majority_cold,cowa,6,1.0,0.6666666666666666
52,majority_cold,no_hr,6,0.6666666666666666,0.4166666666666667
52,majority_cold,mv,6,0.6666666666666666,0.4166666666666667
52,majority_cold,lir_reset30d,6,0.6666666666666666,0.4166666666666667
52,minority_cold,lir_pptd,428,0.7593457943925234,0.7639136144754123
52,minority_cold,cowa,428,0.7920560747663551,0.7949911365271299
52,minority_cold,no_hr,428,0.8060747663551402,0.8062940453309785
52,minority_cold,mv,428,0.8060747663551402,0.8062940453309785
52,minority_cold,lir_reset30d,428,0.7593457943925234,0.7639136144754123
53,all_cold,lir_pptd,22,1.0,1.0
53,all_cold,cowa,22,1.0,1.0
53,all_cold,no_hr,22,1.0,1.0
53,all_cold,mv,22,1.0,1.0
53,all_cold,lir_reset30d,22,1.0,1.0
53,history_all,lir_pptd,76679,0.8838925911918517,0.8781529742013915
53,history_all,cowa,76679,0.8837230532479557,0.8778433453907035
53,history_all,no_hr,76679,0.8819233427665985,0.8768114899313799
53,history_all,mv,76679,0.8819233427665985,0.8768114899313799
53,history_all,lir_reset30d,76679,0.8839317153327508,0.8781958410091805
53,majority_cold,lir_pptd,207,0.8695652173913043,0.8695266190620606
53,majority_cold,cowa,207,0.8647342995169082,0.8655158753301504
53,majority_cold,no_hr,207,0.8743961352657005,0.8738896383780528
53,majority_cold,mv,207,0.8743961352657005,0.8738896383780528
53,majority_cold,lir_reset30d,207,0.8695652173913043,0.8695266190620606
53,minority_cold,lir_pptd,9203,0.766597848527654,0.7647902286083906
53,minority_cold,cowa,9203,0.7658372269911985,0.764199714263226
53,minority_cold,no_hr,9203,0.7706182766489188,0.7698652109100174
53,minority_cold,mv,9203,0.7706182766489188,0.7698652109100174
53,minority_cold,lir_reset30d,9203,0.7667065087471476,0.7648814859518113
56,all_cold,lir_pptd,38,1.0,1.0
56,all_cold,cowa,38,1.0,1.0
56,all_cold,no_hr,38,1.0,1.0
56,all_cold,mv,38,1.0,1.0
56,all_cold,lir_reset30d,38,1.0,1.0
56,history_all,lir_pptd,674230,0.9600952197321388,0.9600909631012872
56,history_all,cowa,674230,0.9603384601693784,0.9603338299414782
56,history_all,no_hr,674230,0.9416638239176542,0.9417101021837683
56,history_all,mv,674230,0.9416638239176542,0.9417101021837683
56,history_all,lir_reset30d,674230,0.9600952197321388,0.9600909631012872
56,majority_cold,lir_pptd,415,1.0,1.0
56,majority_cold,cowa,415,1.0,1.0
56,majority_cold,no_hr,415,1.0,1.0
56,majority_cold,mv,415,1.0,1.0
56,majority_cold,lir_reset30d,415,1.0,1.0
56,minority_cold,lir_pptd,15559,0.9395205347387364,0.939593125947558
56,minority_cold,cowa,15559,0.9365640465325535,0.9366324118479398
56,minority_cold,no_hr,15559,0.9246095507423356,0.9247291178721208
56,minority_cold,mv,15559,0.9246095507423356,0.9247291178721208
56,minority_cold,lir_reset30d,15559,0.9395205347387364,0.939593125947558
69,all_cold,lir_pptd,118,0.923728813559322,0.8493888888888889
