capability,reentry_group,method,n,accuracy,macro_f1
50,non_reentry,lir_pptd,128345,0.9283415793369434,0.9282539232447311
50,non_reentry,cowa,128345,0.9205500798628696,0.9204557976735582
50,non_reentry,no_hr,128345,0.8984689703533445,0.8982869641137426
50,non_reentry,mv,128345,0.8984689703533445,0.8982869641137426
50,non_reentry,lir_reset30d,128345,0.9281623748490397,0.9280742737912034
50,reentry30,lir_pptd,128,0.953125,0.9508237701008785
50,reentry30,cowa,128,0.953125,0.9508237701008785
50,reentry30,no_hr,128,0.9609375,0.9595466863759547
50,reentry30,mv,128,0.9609375,0.9595466863759547
50,reentry30,lir_reset30d,128,0.953125,0.9508237701008785
52,non_reentry,lir_pptd,17488,0.8887808783165599,0.8820544990567104
52,non_reentry,cowa,17488,0.8955855443732845,0.8902056844181162
52,non_reentry,no_hr,17488,0.8724268069533394,0.8615109912705506
52,non_reentry,mv,17488,0.8724268069533394,0.8615109912705506
52,non_reentry,lir_reset30d,17488,0.8887808783165599,0.8820544990567104
53,non_reentry,lir_pptd,86097,0.8713311729793141,0.8657609484387994
53,non_reentry,cowa,86097,0.8710872620416507,0.86541514827776
53,non_reentry,no_hr,86097,0.8700186998385542,0.8651876971710889
53,non_reentry,mv,86097,0.8700186998385542,0.8651876971710889
53,non_reentry,lir_reset30d,86097,0.8713776322055357,0.8658079209272969
53,reentry30,lir_pptd,14,1.0,1.0
53,reentry30,cowa,14,1.0,1.0
53,reentry30,no_hr,14,1.0,1.0
53,reentry30,mv,14,1.0,1.0
53,reentry30,lir_reset30d,14,1.0,1.0
56,non_reentry,lir_pptd,690242,0.9596576273249092,0.9596537722762083
56,non_reentry,cowa,690242,0.9598285818596956,0.9598243790359225
56,non_reentry,no_hr,690242,0.9413176827837193,0.9413653644712082
56,non_reentry,mv,690242,0.9413176827837193,0.9413653644712082
56,non_reentry,lir_reset30d,690242,0.9596576273249092,0.9596537722762083
69,non_reentry,lir_pptd,4711,0.8683931224793038,0.785295460922323
69,non_reentry,cowa,4711,0.8649968159626407,0.7765927418115574
69,non_reentry,no_hr,4711,0.8613882402886861,0.7596011145249116
69,non_reentry,mv,4711,0.8613882402886861,0.7596011145249116
69,non_reentry,lir_reset30d,4711,0.8683931224793038,0.785295460922323
126,non_reentry,lir_pptd,22622,0.9525682963486871,0.9369765862230787
126,non_reentry,cowa,22622,0.9476173636283264,0.9312296827709191
126,non_reentry,no_hr,22622,0.9241888427194767,0.9046404401028609
126,non_reentry,mv,22622,0.9241888427194767,0.9046404401028609
126,non_reentry,lir_reset30d,22622,0.9525682963486871,0.9369765862230787
