capability,time_bin_30d,method,n,accuracy,macro_f1
50,0,lir_pptd,33667,0.927258145958951,0.9269114652484284
50,0,cowa,33667,0.926574984406095,0.9262437794239795
50,0,no_hr,33667,0.9229809605845487,0.9226770964236072
50,0,mv,33667,0.9229809605845487,0.9226770964236072
50,0,lir_reset30d,33667,0.927258145958951,0.9269114652484284
50,1,lir_pptd,47355,0.9250554323725055,0.9247383040939194
50,1,cowa,47355,0.9179812057860839,0.9175967674416108
50,1,no_hr,47355,0.9035582303874987,0.9028940640645285
50,1,mv,47355,0.9035582303874987,0.9028940640645285
50,1,lir_reset30d,47355,0.9250976665610812,0.9247799880169844
50,2,lir_pptd,47451,0.9324566394807274,0.9324098537029811
50,2,cowa,47451,0.9189268930054161,0.9188680947433636
50,2,no_hr,47451,0.8761669933194243,0.8760054209232907
50,2,mv,47451,0.8761669933194243,0.8760054209232907
50,2,lir_reset30d,47451,0.9319297801943057,0.9318808024962172
52,0,lir_pptd,17488,0.8887808783165599,0.8820544990567104
52,0,cowa,17488,0.8955855443732845,0.8902056844181162
52,0,no_hr,17488,0.8724268069533394,0.8615109912705506
52,0,mv,17488,0.8724268069533394,0.8615109912705506
52,0,lir_reset30d,17488,0.8887808783165599,0.8820544990567104
53,0,lir_pptd,15051,0.9425287356321839,0.6309925492045784
53,0,cowa,15051,0.9381436449405355,0.5804940415621592
53,0,no_hr,15051,0.9441897548335659,0.6514253887765619
53,0,mv,15051,0.9441897548335659,0.6514253887765619
53,0,lir_reset30d,15051,0.9425287356321839,0.6309925492045784
53,3,lir_pptd,18972,0.8995361585494412,0.8995045768649687
53,3,cowa,18972,0.9009593084545646,0.9009145943652143
53,3,no_hr,18972,0.8970061142736665,0.8970059777058941
53,3,mv,18972,0.8970061142736665,0.8970059777058941
53,3,lir_reset30d,18972,0.8995361585494412,0.8995033205144445
53,4,lir_pptd,52087,0.8405168276153359,0.8403314069962984
53,4,cowa,52087,0.8408624032868086,0.8406908795565071
53,4,no_hr,52087,0.8387889492579722,0.8386419552739023
53,4,mv,52087,0.8387889492579722,0.8386419552739023
53,4,lir_reset30d,52087,0.8405936222089965,0.8404083470792076
53,6,lir_pptd,1,1.0,0.3333333333333333
53,6,cowa,1,1.0,0.3333333333333333
53,6,no_hr,1,1.0,0.3333333333333333
53,6,mv,1,1.0,0.3333333333333333
53,6,lir_reset30d,1,1.0,0.3333333333333333
56,0,lir_pptd,690242,0.9596576273249092,0.9596537722762083
56,0,cowa,690242,0.9598285818596956,0.9598243790359225
56,0,no_hr,690242,0.9413176827837193,0.9413653644712082
56,0,mv,690242,0.9413176827837193,0.9413653644712082
56,0,lir_reset30d,690242,0.9596576273249092,0.9596537722762083
69,0,lir_pptd,4711,0.8683931224793038,0.785295460922323
69,0,cowa,4711,0.8649968159626407,0.7765927418115574
69,0,no_hr,4711,0.8613882402886861,0.7596011145249116
69,0,mv,4711,0.8613882402886861,0.7596011145249116
69,0,lir_reset30d,4711,0.8683931224793038,0.785295460922323
126,0,lir_pptd,22622,0.9525682963486871,0.9369765862230787
126,0,cowa,22622,0.9476173636283264,0.9312296827709191
126,0,no_hr,22622,0.9241888427194767,0.9046404401028609
126,0,mv,22622,0.9241888427194767,0.9046404401028609
126,0,lir_reset30d,22622,0.9525682963486871,0.9369765862230787
