capability,worker_id,first_task_end_ms,last_task_end_ms,active_span_days,task_count,hidden_calibration_exposures,reentry30_count,final_reputation
50,3,1665986198874,1666317528123,3.834829270833333,4,0,0,0.5
50,54,1665795331546,1673417155692,88.21555724537038,2627,130,1,0.5537773373735484
50,56,1665887339442,1666389336343,5.810149317129629,361,14,0,0.4333505303918711
50,63,1665817751567,1665969845646,1.760348136574074,69,2,0,0.3637500000000001
50,64,1666164443790,1668145960627,22.934222650462964,61,2,0,0.5950000000000001
50,74,1665828950285,1666226582257,4.602221898148148,14,1,0,0.55
50,80,1665789972717,1670403677451,53.39936034722222,3413,179,0,0.6675109922959446
50,81,1665874083358,1665874221407,0.0015977893518518518,2,0,0,0.5
50,91,1666159066560,1670315188849,48.103267233796295,93,5,0,0.4068664583333334
50,99,1665976698876,1666395379725,4.8458431597222225,185,10,0,0.40557094035364605
50,114,1666318204698,1673419088660,82.1861569675926,125,8,1,0.7847663950000001
50,116,1668170466062,1668170902656,0.005053171296296296,9,0,0,0.5
50,126,1665885368898,1673414903612,87.14739252314814,113,1,1,0.55
50,128,1665910222408,1673417131795,86.8855253125,529,29,1,0.7445401161300524
50,164,1667963384419,1670394051225,28.132717662037038,116,4,0,0.67195
50,252,1666353445603,1666353445603,0.0,1,0,0,0.5
50,263,1666158159988,1673419191810,84.03972016203704,2769,123,1,0.6418808676163539
50,272,1665791028528,1666387272240,6.9009688888888885,1016,53,0,0.3893030180583225
50,283,1666310334463,1666310334463,0.0,1,0,0,0.5
50,294,1666171327483,1666313910966,1.6502717939814815,9,0,0,0.5
50,314,1665795955728,1673419435266,88.234716875,7675,435,1,0.7079273283696018
50,315,1665837017799,1673419337586,87.75833086805555,11395,563,1,0.32727951989483756
50,325,1666151649800,1666389115369,2.7484440856481482,221,7,0,0.6479949250000001
50,331,1666593905951,1666593905951,0.0,1,0,0,0.5
50,337,1665836191403,1666353345026,5.985574340277778,111,8,0,0.6546954325000001
50,355,1665789972717,1670406138013,53.42783907407407,22180,1100,0,0.34031245209622085
50,368,1665803799527,1673416635255,88.11152462962963,4167,195,1,0.5039128072726093
50,369,1665982996419,1666380174644,4.596970196759259,287,16,0,0.1818001908229865
50,379,1665821958160,1666239154696,4.828663611111111,28,0,0,0.5
50,382,1665797953692,1666233164355,5.037160451388889,17,0,0,0.5
50,408,1665806466380,1668003820009,25.43233366898148,351,18,0,0.7819015080596952
50,422,1665819967033,1670381346092,52.793739108796295,640,27,0,0.5344282903816843
50,424,1666164596784,1666320102874,1.7998390046296295,48,2,0,0.5950000000000001
50,425,1666229603442,1666323838502,1.0906835648148148,29,2,0,0.48250000000000004
50,429,1666236310827,1666394564791,1.8316431018518518,53,3,0,0.5342500000000001
50,439,1666158048192,1668128907972,22.810877083333335,1092,45,0,0.41108869012567617
50,440,1665834835835,1670404050986,52.88443461805556,4827,252,0,0.5587912549191346
50,441,1665804912382,1666310532739,5.852087465277778,673,37,0,0.40228979988742075
50,444,1665926324071,1666310926334,4.451415081018519,65,7,0,0.6329949250000002
50,452,1665791816838,1668066058798,26.322244907407406,443,15,0,0.41066368844906287
50,456,1665789972717,1670309642156,52.31098887731481,1278,55,0,0.6086348860751263
50,466,1666234591157,1666309519630,0.8672276967592593,5,0,0,0.5
50,467,1666229064294,1666358533302,1.498483888888889,113,5,0,0.3765886805555556
50,468,1666229756279,1666229756279,0.0,1,0,0,0.5
