dataset,rho,method,display_name,paper_metric,n,mean,bootstrap_95_ci_low,bootstrap_95_ci_high
product,3/10,lir_pptd,LIR-PPTD,MacroF1,20,0.6472201908321782,0.6324160875985189,0.6621901933665302
product,3/10,no_hr,No-HR,MacroF1,20,0.5366615249018531,0.5126976221922692,0.5608292065859318
product,3/10,no_cw,No-CW,MacroF1,20,0.6472201908321782,0.6324403905613403,0.662128183339024
product,3/10,no_eg,No-EG,MacroF1,20,0.6104628852177748,0.5685559520659224,0.6506157881298841
product,1/2,lir_pptd,LIR-PPTD,MacroF1,20,0.5511381651978416,0.5356733211752455,0.566530466742368
product,1/2,no_hr,No-HR,MacroF1,20,0.4121563949287235,0.3902129426103135,0.4340151389233477
product,1/2,no_cw,No-CW,MacroF1,20,0.5511381651978416,0.5353183848211727,0.5660704319261296
product,1/2,no_eg,No-EG,MacroF1,20,0.42805118852744023,0.394632561321575,0.4633353783876278
product,7/10,lir_pptd,LIR-PPTD,MacroF1,20,0.46718807848600247,0.4452166953041647,0.4895893701103961
product,7/10,no_hr,No-HR,MacroF1,20,0.3042228968700223,0.2772021179597655,0.33203122687781106
product,7/10,no_cw,No-CW,MacroF1,20,0.46718807848600247,0.4452209511580721,0.48957424651729303
product,7/10,no_eg,No-EG,MacroF1,20,0.2810150525563074,0.24449069799309722,0.3173437684000689
duck,3/10,lir_pptd,LIR-PPTD,Accuracy,20,0.733173076923077,0.7105769230769231,0.75625
duck,3/10,no_hr,No-HR,Accuracy,20,0.7379807692307692,0.7086538461538462,0.7682692307692307
duck,3/10,no_cw,No-CW,Accuracy,20,0.733173076923077,0.7100961538461539,0.75625
duck,3/10,no_eg,No-EG,Accuracy,20,0.7014423076923076,0.6682692307692307,0.7360697115384613
duck,1/2,lir_pptd,LIR-PPTD,Accuracy,20,0.6384615384615384,0.5913461538461539,0.6855769230769231
duck,1/2,no_hr,No-HR,Accuracy,20,0.4543269230769231,0.3985576923076923,0.5120192307692307
duck,1/2,no_cw,No-CW,Accuracy,20,0.6384615384615384,0.5923076923076923,0.6841346153846154
duck,1/2,no_eg,No-EG,Accuracy,20,0.5024038461538461,0.4240384615384615,0.5778846153846154
duck,7/10,lir_pptd,LIR-PPTD,Accuracy,20,0.4841346153846154,0.44182692307692306,0.5254807692307693
duck,7/10,no_hr,No-HR,Accuracy,20,0.27740384615384617,0.24423076923076925,0.3125
duck,7/10,no_cw,No-CW,Accuracy,20,0.4841346153846154,0.44230769230769235,0.5264423076923077
duck,7/10,no_eg,No-EG,Accuracy,20,0.31826923076923075,0.27884615384615385,0.35625
dog,3/10,lir_pptd,LIR-PPTD,MacroF1,20,0.7554027243289299,0.7436788599824887,0.765947880996444
dog,3/10,no_hr,No-HR,MacroF1,20,0.7138547522847598,0.6951650174837635,0.7307183746759442
dog,3/10,no_cw,No-CW,MacroF1,20,0.7554027243289299,0.7435141813737177,0.7661741150449891
dog,3/10,no_eg,No-EG,MacroF1,20,0.7913987758002109,0.7836733177458466,0.798767603843256
dog,1/2,lir_pptd,LIR-PPTD,MacroF1,20,0.5893429415010917,0.5630577678449125,0.6138987622524795
dog,1/2,no_hr,No-HR,MacroF1,20,0.4707131105243521,0.4353872475740012,0.505155115013301
dog,1/2,no_cw,No-CW,MacroF1,20,0.5893429415010917,0.5632214232055867,0.6143005466921734
dog,1/2,no_eg,No-EG,MacroF1,20,0.5001199579585148,0.39408396326015016,0.6014832173461571
dog,7/10,lir_pptd,LIR-PPTD,MacroF1,20,0.3279972893718448,0.30178728640082075,0.3543645484484274
dog,7/10,no_hr,No-HR,MacroF1,20,0.2115758812187871,0.19471154723003803,0.23059217124844023
dog,7/10,no_cw,No-CW,MacroF1,20,0.3279972893718448,0.3019338092509694,0.35417763251317674
dog,7/10,no_eg,No-EG,MacroF1,20,0.11355242822476029,0.10569420899852508,0.12331453413578776
weather,3/10,lir_pptd,LIR-PPTD,MAE,20,0.053985505764184226,0.052272376348299156,0.05574823490629056
weather,3/10,no_hr,No-HR,MAE,20,0.088195958966765,0.08663302806597702,0.0898143078555111
weather,3/10,no_cw,No-CW,MAE,20,0.0669948530827102,0.0655554810993158,0.06840987442508903
weather,3/10,no_eg,No-EG,MAE,20,0.05915851010591605,0.05708070969479245,0.06131462339792333
weather,1/2,lir_pptd,LIR-PPTD,MAE,20,0.11063552227766446,0.10820247494729843,0.11291057054200664
weather,1/2,no_hr,No-HR,MAE,20,0.16818853979646894,0.16610272863962997,0.1702699637470779
weather,1/2,no_cw,No-CW,MAE,20,0.11972463356469366,0.11841792538794334,0.12101601143909245
weather,1/2,no_eg,No-EG,MAE,20,0.1848678924508605,0.17920867146031957,0.18986493732697718
weather,7/10,lir_pptd,LIR-PPTD,MAE,20,0.1507228709827862,0.14772565842606472,0.15351254552801494
weather,7/10,no_hr,No-HR,MAE,20,0.20616691590723843,0.20464758850769657,0.2076963977260462
weather,7/10,no_cw,No-CW,MAE,20,0.15130347235846764,0.14972116411230488,0.15280181563265824
weather,7/10,no_eg,No-EG,MAE,20,0.2301113139983037,0.22771468581010992,0.23237147194891591
