hypothesis_id,dataset,rho,comparator,comparator_display_name,paper_metric,n,full_mean_loss,comparator_mean_loss,mean_loss_delta_full_minus_comparator,wins,ties,losses,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed,exact_two_sided_sign_flip_p,paired_rank_biserial,holm_family,holm_family_size,holm_adjusted_p,direction,holm_direction
product|3/10|full_vs_no_hr,product,3/10,no_hr,No-HR,MacroF1,20,0.3527798091678218,0.46333847509814685,-0.11055866593032503,20,0,0,-0.12118760714552215,-0.09960688382272734,15085661921143445441,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
product|3/10|full_vs_no_cw,product,3/10,no_cw,No-CW,MacroF1,20,0.3527798091678218,0.3527798091678218,0.0,0,20,0,0.0,0.0,11060886988288359488,1.0,0.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,tie,not_significant
product|3/10|full_vs_no_eg,product,3/10,no_eg,No-EG,MacroF1,20,0.3527798091678218,0.3895371147822252,-0.03675730561440333,11,0,9,-0.06516528718637453,-0.010422613412969173,16388228499350394159,0.020227432250976562,-0.34285714285714286,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,0.2629566192626953,full_win,not_significant
product|1/2|full_vs_no_hr,product,1/2,no_hr,No-HR,MacroF1,20,0.44886183480215835,0.5878436050712764,-0.1389817702691181,20,0,0,-0.14638275289083408,-0.13110383732737205,18217619440113472135,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
product|1/2|full_vs_no_cw,product,1/2,no_cw,No-CW,MacroF1,20,0.44886183480215835,0.44886183480215835,0.0,0,20,0,0.0,0.0,15918134395236498001,1.0,0.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,tie,not_significant
product|1/2|full_vs_no_eg,product,1/2,no_eg,No-EG,MacroF1,20,0.44886183480215835,0.5719488114725598,-0.12308697667040142,19,0,1,-0.14247994204190628,-0.0997542608448276,17858652756210611423,3.814697265625e-06,-0.9904761904761905,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
product|7/10|full_vs_no_hr,product,7/10,no_hr,No-HR,MacroF1,20,0.5328119215139975,0.6957771031299778,-0.1629651816159802,20,0,0,-0.16963796682434476,-0.15588327393969292,11594936433570130933,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
product|7/10|full_vs_no_cw,product,7/10,no_cw,No-CW,MacroF1,20,0.5328119215139975,0.5328119215139975,0.0,0,20,0,0.0,0.0,7914052579662341672,1.0,0.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,tie,not_significant
product|7/10|full_vs_no_eg,product,7/10,no_eg,No-EG,MacroF1,20,0.5328119215139975,0.7189849474436926,-0.18617302592969512,20,0,0,-0.20117949092644724,-0.1709563205924406,11741064431800027197,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
duck|3/10|full_vs_no_hr,duck,3/10,no_hr,No-HR,Accuracy,20,0.2668269230769231,0.2620192307692308,0.004807692307692309,9,1,10,-0.005769230769230782,0.01682692307692306,6472075049206065180,0.42995452880859375,0.21052631578947367,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,full_loss,not_significant
duck|3/10|full_vs_no_cw,duck,3/10,no_cw,No-CW,Accuracy,20,0.2668269230769231,0.2668269230769231,0.0,0,20,0,0.0,0.0,8168574055292941785,1.0,0.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,tie,not_significant
duck|3/10|full_vs_no_eg,duck,3/10,no_eg,No-EG,Accuracy,20,0.2668269230769231,0.29855769230769236,-0.03173076923076924,17,0,3,-0.04855769230769231,-0.01250000000000003,42012550982392930,0.0045070648193359375,-0.680952380952381,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,0.06309890747070312,full_win,not_significant
duck|1/2|full_vs_no_hr,duck,1/2,no_hr,No-HR,Accuracy,20,0.36153846153846153,0.5456730769230769,-0.1841346153846154,20,0,0,-0.2144230769230769,-0.15480769230769229,13453668327112693319,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
duck|1/2|full_vs_no_cw,duck,1/2,no_cw,No-CW,Accuracy,20,0.36153846153846153,0.36153846153846153,0.0,0,20,0,0.0,0.0,9925350763340785218,1.0,0.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,tie,not_significant
duck|1/2|full_vs_no_eg,duck,1/2,no_eg,No-EG,Accuracy,20,0.36153846153846153,0.49759615384615385,-0.13605769230769232,16,1,3,-0.19615384615384618,-0.08028846153846156,2486637490332313184,0.00014495849609375,-0.8947368421052632,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,0.00217437744140625,full_win,full_win
duck|7/10|full_vs_no_hr,duck,7/10,no_hr,No-HR,Accuracy,20,0.5158653846153846,0.7225961538461538,-0.20673076923076922,20,0,0,-0.23076923076923075,-0.18173076923076922,9636816417542137478,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
duck|7/10|full_vs_no_cw,duck,7/10,no_cw,No-CW,Accuracy,20,0.5158653846153846,0.5158653846153846,0.0,0,20,0,0.0,0.0,10282188215652145623,1.0,0.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,tie,not_significant
duck|7/10|full_vs_no_eg,duck,7/10,no_eg,No-EG,Accuracy,20,0.5158653846153846,0.6817307692307693,-0.1658653846153846,20,0,0,-0.19615384615384615,-0.13365384615384615,17134558817637319511,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
dog|3/10|full_vs_no_hr,dog,3/10,no_hr,No-HR,MacroF1,20,0.2445972756710702,0.28614524771524025,-0.04154797204417,20,0,0,-0.050945064183999716,-0.03289263337351388,15788864591711036121,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
dog|3/10|full_vs_no_cw,dog,3/10,no_cw,No-CW,MacroF1,20,0.2445972756710702,0.2445972756710702,0.0,0,20,0,0.0,0.0,2401798766945144921,1.0,0.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,tie,not_significant
dog|3/10|full_vs_no_eg,dog,3/10,no_eg,No-EG,MacroF1,20,0.2445972756710702,0.20860122419978908,0.03599605147128114,0,0,20,0.029018866801746777,0.04379648618465335,17058401117864240025,1.9073486328125e-06,1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_loss,full_loss
dog|1/2|full_vs_no_hr,dog,1/2,no_hr,No-HR,MacroF1,20,0.41065705849890827,0.529286889475648,-0.11862983097673961,20,0,0,-0.13075478214273173,-0.10683709600369827,1409884425343169384,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
dog|1/2|full_vs_no_cw,dog,1/2,no_cw,No-CW,MacroF1,20,0.41065705849890827,0.41065705849890827,0.0,0,20,0,0.0,0.0,5978906695906040947,1.0,0.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,tie,not_significant
dog|1/2|full_vs_no_eg,dog,1/2,no_eg,No-EG,MacroF1,20,0.41065705849890827,0.49988004204148523,-0.08922298354257692,8,0,12,-0.1724275817471172,-0.008864747527942581,13544068396215177991,0.05515861511230469,-0.2571428571428571,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,0.6619033813476562,full_win,not_significant
dog|7/10|full_vs_no_hr,dog,7/10,no_hr,No-HR,MacroF1,20,0.6720027106281552,0.7884241187812129,-0.11642140815305772,20,0,0,-0.12637239646090906,-0.10536587285733262,9678429528915235864,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
dog|7/10|full_vs_no_cw,dog,7/10,no_cw,No-CW,MacroF1,20,0.6720027106281552,0.6720027106281552,0.0,0,20,0,0.0,0.0,7200433031251854607,1.0,0.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,tie,not_significant
dog|7/10|full_vs_no_eg,dog,7/10,no_eg,No-EG,MacroF1,20,0.6720027106281552,0.8864475717752397,-0.21444486114708453,20,0,0,-0.23561241504799804,-0.19206149213256196,4670983815614798048,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
weather|3/10|full_vs_no_hr,weather,3/10,no_hr,No-HR,MAE,20,0.053985505764184226,0.088195958966765,-0.03421045320258078,20,0,0,-0.035467558357915874,-0.03287520110376183,7595649499638057496,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
weather|3/10|full_vs_no_cw,weather,3/10,no_cw,No-CW,MAE,20,0.053985505764184226,0.0669948530827102,-0.013009347318525977,20,0,0,-0.013696374577299253,-0.012342334206540339,11688399807194497836,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
weather|3/10|full_vs_no_eg,weather,3/10,no_eg,No-EG,MAE,20,0.053985505764184226,0.05915851010591605,-0.0051730043417318235,20,0,0,-0.006222637499163835,-0.0040725355945203144,16839554291952345926,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
weather|1/2|full_vs_no_hr,weather,1/2,no_hr,No-HR,MAE,20,0.11063552227766446,0.16818853979646892,-0.057553017518804477,20,0,0,-0.058976280004077265,-0.056045295616836174,6693296637958070405,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
weather|1/2|full_vs_no_cw,weather,1/2,no_cw,No-CW,MAE,20,0.11063552227766446,0.11972463356469368,-0.009089111287029212,20,0,0,-0.010499376748664146,-0.007748662420534872,5865141396864228294,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
weather|1/2|full_vs_no_eg,weather,1/2,no_eg,No-EG,MAE,20,0.11063552227766446,0.1848678924508605,-0.07423237017319602,20,0,0,-0.07731016395143789,-0.07076823763686083,4402310055817167381,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
weather|7/10|full_vs_no_hr,weather,7/10,no_hr,No-HR,MAE,20,0.1507228709827862,0.20616691590723843,-0.055444044924452256,20,0,0,-0.05732758009317641,-0.05351785641744941,18114937856047607867,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
weather|7/10|full_vs_no_cw,weather,7/10,no_cw,No-CW,MAE,20,0.1507228709827862,0.15130347235846764,-0.0005806013756814585,10,0,10,-0.0022568824420843817,0.0011639658401964388,260726417177039165,0.527801513671875,-0.08571428571428572,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,1.0,full_win,not_significant
weather|7/10|full_vs_no_eg,weather,7/10,no_eg,No-EG,MAE,20,0.1507228709827862,0.2301113139983037,-0.07938844301551753,20,0,0,-0.08009580166162908,-0.07875105992946568,12758550706949770699,1.9073486328125e-06,-1.0,VI-C|primary|4-datasets|3-rhos|3-ablations|36,36,6.866455078125e-05,full_win,full_win
