dataset,rho,calibration_epoch,task_index,task_id,method,display_name,quantity,n,mean,bootstrap_95_ci_low,bootstrap_95_ci_high
dog,7/10,1,4,dog:347,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5006818181818182,0.4995454545454545,0.501780303030303
dog,7/10,1,4,dog:347,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.49633223684210526,0.49574013157894736,0.49689144736842106
dog,7/10,1,4,dog:347,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.004349581339712924,0.0037330542264752743,0.0049661084529505515
dog,7/10,1,4,dog:347,no_eg,No-EG,mean_reputation_honest,20,0.4935896454669125,0.49053022771355237,0.49677073321362725
dog,7/10,1,4,dog:347,no_eg,No-EG,mean_reputation_malicious,20,0.4936456188213312,0.49244552920078155,0.4948151094671142
dog,7/10,1,4,dog:347,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-5.5973354418720217e-05,-0.0036057447697483676,0.0034232024140922785
dog,7/10,2,72,dog:528,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5036717171717172,0.5025555239898991,0.5048030618686868
dog,7/10,2,72,dog:528,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4922297149122807,0.4915142475328947,0.49295670230263156
dog,7/10,2,72,dog:528,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.01144200225943647,0.010830511529771405,0.012032374941852712
dog,7/10,2,72,dog:528,no_eg,No-EG,mean_reputation_honest,20,0.37305134818443136,0.3632056351747675,0.383558128988347
dog,7/10,2,72,dog:528,no_eg,No-EG,mean_reputation_malicious,20,0.544902148476021,0.539314891382068,0.5493405860360241
dog,7/10,2,72,dog:528,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.17185080029158967,-0.1832279017604231,-0.15777000709003014
dog,7/10,3,86,dog:102,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5054027777777778,0.503734816919192,0.5069734848484849
dog,7/10,3,86,dog:102,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4874717653508772,0.4865468612938596,0.4883347108004386
dog,7/10,3,86,dog:102,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.017931012426900622,0.01709157446172253,0.018745983270202063
dog,7/10,3,86,dog:102,no_eg,No-EG,mean_reputation_honest,20,0.3687510399946057,0.3594817069553006,0.3787504851293888
dog,7/10,3,86,dog:102,no_eg,No-EG,mean_reputation_malicious,20,0.5326004116240655,0.5272287582535711,0.5371330628762271
dog,7/10,3,86,dog:102,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.1638493716294598,-0.17543799708416993,-0.15077468700266125
dog,7/10,4,93,dog:105,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5088561868686868,0.5071918592171717,0.5105113667929293
dog,7/10,4,93,dog:105,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4820748263888889,0.4811948736750731,0.48295337924890347
dog,7/10,4,93,dog:105,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.02678136047979801,0.0258790600079745,0.027707896128223053
dog,7/10,4,93,dog:105,no_eg,No-EG,mean_reputation_honest,20,0.37121111548262814,0.36207732322962094,0.38077698394850323
dog,7/10,4,93,dog:105,no_eg,No-EG,mean_reputation_malicious,20,0.5292939211990775,0.523970283537165,0.5340048162230137
dog,7/10,4,93,dog:105,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.15808280571644934,-0.17023529001487198,-0.14434732065599876
dog,7/10,5,104,dog:641,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5054049116161616,0.5031239068813131,0.5074549362373737
dog,7/10,5,104,dog:641,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4754524139558967,0.4744806124284235,0.4763241349712171
dog,7/10,5,104,dog:641,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.02995249766026492,0.027881493312718726,0.03181841215263932
dog,7/10,5,104,dog:641,no_eg,No-EG,mean_reputation_honest,20,0.36455339753393984,0.3555988158769938,0.3738276689334824
dog,7/10,5,104,dog:641,no_eg,No-EG,mean_reputation_malicious,20,0.5230285984772836,0.5184438876444528,0.5272968780928934
dog,7/10,5,104,dog:641,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.15847520094334375,-0.16993769493689742,-0.1461631882099631
dog,7/10,6,106,dog:643,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5010573011363636,0.4985292402619949,0.5034951167455808
dog,7/10,6,106,dog:643,lir_pptd,LIR-PPTD,mean_reputation_malicious,20,0.4775746272691277,0.47663149752984896,0.4784634661237512
dog,7/10,6,106,dog:643,lir_pptd,LIR-PPTD,reputation_gap_honest_minus_malicious,20,0.023482673867235952,0.02112090695493171,0.025744123737581406
dog,7/10,6,106,dog:643,no_eg,No-EG,mean_reputation_honest,20,0.36216227592273353,0.35393701479118467,0.3711105540670117
dog,7/10,6,106,dog:643,no_eg,No-EG,mean_reputation_malicious,20,0.5244415244342754,0.5197724241047408,0.5287186213329553
dog,7/10,6,106,dog:643,no_eg,No-EG,reputation_gap_honest_minus_malicious,20,-0.16227924851154182,-0.17322144822709745,-0.15005366236683051
dog,7/10,7,136,dog:91,lir_pptd,LIR-PPTD,mean_reputation_honest,20,0.5023645233585858,0.49948586152146474,0.5050721991792929
